Study,Variable Name,Description
Study 2 Advisors,woln_t_1,Timing info: First click on page
Study 2 Advisors,woln_t_2,Timing info: Last click on page
Study 2 Advisors,woln_t_3,Timing info: Total time to submit current page
Study 2 Advisors,woln_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q355,Qualtrics question display record
Study 2 Advisors,woln_b,Qualtrics question display record
Study 2 Advisors,woln_c,Completion code
Study 2 Advisors,Q358,Qualtrics question display record
Study 2 Advisors,Q159,Qualtrics question display record
Study 2 Advisors,adv_inst,Qualtrics question display record
Study 2 Advisors,adv_inst_t_1,Timing info: First click on page
Study 2 Advisors,adv_inst_t_2,Timing info: Last click on page
Study 2 Advisors,adv_inst_t_3,Timing info: Total time to submit current page
Study 2 Advisors,adv_inst_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,advice,Advice text
Study 2 Advisors,adv_t_1,Timing info: First click on page
Study 2 Advisors,adv_t_2,Timing info: Last click on page
Study 2 Advisors,adv_t_3,Timing info: Total time to submit current page
Study 2 Advisors,adv_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q169,Qualtrics question display record
Study 2 Advisors,Q16,Qualtrics question display record
Study 2 Advisors,prev_exp,Previous experience with the task
Study 2 Advisors,prev_last,(if yes to previous) Most recent time playing before today
Study 2 Advisors,prev_first,First time playing the game
Study 2 Advisors,rel_exp,How experience are you compared to most people at the game
Study 2 Advisors,rel_skill,How skilled are you compared to most people at the game
Study 2 Advisors,avg_perf_1_TEXT,How well do you think the average person does on one round of the game you played today (avg num of words found in 1 minute
Study 2 Advisors,prev_freq,How often playing the game
Study 2 Advisors,input,Input device
Study 2 Advisors,input_TEXT,Input device (other)
Study 2 Advisors,browser,Browser
Study 2 Advisors,browser_TEXT,Browser (free response)
Study 2 Advisors,adv_imp_1,How much do you think your advice will help them improve?
Study 2 Advisors,animals,Animal naming task
Study 2 Advisors,animals_t_1,Timing info: First click on page
Study 2 Advisors,animals_t_2,Timing info: Last click on page
Study 2 Advisors,animals_t_3,Timing info: Total time to submit current page
Study 2 Advisors,animals_t_4,Timing info: Total number of clicks on page
Study 2 Advisors,Q107,Qualtrics question display record
Study 2 Advisors,age,Participant age
Study 2 Advisors,gender,Participant gender
Study 2 Advisors,catch,Answer to attentional catch question
Study 2 Advisors,catch_TEXT,Answer to attentional catch question (free repsonse)
Study 2 Advisors,language,Did you only speak English growing up?
Study 2 Advisors,language_TEXT,Language: other
Study 2 Advisors,bugreport,"Reporting any bugs, errors or glitches in study"
Study 2 Advisors,hyp,Guessing what the hypothesis is
Study 2 Advisors,comments,Any other comments
Study 2 Advisors,HITcode,Did they submit a HIT code?
Study 2 Advisors,DO.BR.FL_3,Board display order
Study 2 Advisors,exclude,Participants to exclude (see text for details)
Study 2 Advisors,participant,Advisor ID
Study 2 Advisors,Exclude,Old exclusion variable (unused)
Study 2 Advisors,Exclude_why,Old exclusion variable (unused)
Study 2 Advisors,cat_s,Score on board by name
Study 2 Advisors,eise_s,Score on board by name
Study 2 Advisors,demi_s,Score on board by name
Study 2 Advisors,lnpk_s,Score on board by name
Study 2 Advisors,mpeh_s,Score on board by name
Study 2 Advisors,nwsr_s,Score on board by name
Study 2 Advisors,woln_s,Score on board by name
Study 2 Advisors,b1,First board seen
Study 2 Advisors,b2,Second board seen
Study 2 Advisors,b3,Third board seen
Study 2 Advisors,b4,Fourth board seen
Study 2 Advisors,b5,Fifth board seen
Study 2 Advisors,b6,Sixth board seen
Study 2 Advisors,s1,Score on first board
Study 2 Advisors,s2,Score on second board
Study 2 Advisors,s3,Score on third board
Study 2 Advisors,s4,Score on fourth board
Study 2 Advisors,s5,Score on fifth board
Study 2 Advisors,s6,Score on sixth board
Study 2 Advisors,advisor_mean,Mean of all boards
Study 2 Advisors,advisor_var,SE across all boards
Study 2 Advisors,advisor_sd,SD across all boards
Study 2 Advisors,advisor_median,Median of all boards
Study 2 Advisors,advice_wordcount,Number of words in advice
Study 2 Advisors,animals_wordcount,Number of animals named
Study 2 Advisees,advisor,Advisor ID
Study 2 Advisees,participant,Advisee ID
Study 2 Advisees,ResponseID,Anonymized Qualtrics Response ID
Study 2 Advisees,Q_TotalDuration,Study duration in seconds
Study 2 Advisees,inst1_t_3,Timing info
Study 2 Advisees,inst2_t_3,Timing info
Study 2 Advisees,eise_d,Score on board by name
Study 2 Advisees,adv_inst_t_3.x,Timing info
Study 2 Advisees,lnpk_d,Score on board by name
Study 2 Advisees,mpeh_d,Score on board by name
Study 2 Advisees,woln_d,Score on board by name
Study 2 Advisees,demi_d,Score on board by name
Study 2 Advisees,nwsr_d,Score on board by name
Study 2 Advisees,prev_exp,Previous experience with the task
Study 2 Advisees,prev_last,(if yes to previous) Most recent time playing before today
Study 2 Advisees,prev_first,First time playing the game
Study 2 Advisees,prev_freq,How often playing the game
Study 2 Advisees,adv_exp,How skilled was advice writer compared to average people
Study 2 Advisees,adv_skill,How skilled was advice writer compared to you
Study 2 Advisees,adv_help_hyp,"If you had gotten advice, how helpful would it have been"
Study 2 Advisees,adv_imp_hyp,"If you had gotten advice, how much would it have helped you improve"
Study 2 Advisees,adv_helpf,How helpful was the advice
Study 2 Advisees,adv_imp_1,How much did the advice help you improve
Study 2 Advisees,rel_exp,How experience are you compared to most people at the game
Study 2 Advisees,rel_skill,How skilled are you compared to most people at the game
Study 2 Advisees,avg_perf_1_TEXT,How well you think the average person does on one round of the game you played today (avg num of words found in 1 minute
Study 2 Advisees,adv_perf_1_TEXT,How well you think your advisor does on one round of the game you played today (avg num of words found in 1 minute
Study 2 Advisees,input,Advisee input device
Study 2 Advisees,browser,Advisee browser
Study 2 Advisees,animals,Number of animals named by advisee
Study 2 Advisees,age,Advisee age
Study 2 Advisees,gender,Advisee gender
Study 2 Advisees,language,Advisee language
Study 2 Advisees,condition,Condition
Study 2 Advisees,exclude,Old exclusion variable (unused)
Study 2 Advisees,exclude_why,Old exclusion variable (unused)
Study 2 Advisees,adv_inst_t_3.y,Timing info
Study 2 Advisees,advice,Advice text
Study 2 Advisees,advisor_advice_writing_time,Advisor advice writing time
Study 2 Advisees,advisor_prev_exp,Advisor - Previous experience with the task
Study 2 Advisees,advisor_prev_last,Advisor - (if yes to previous) Most recent time playing before today
Study 2 Advisees,advisor_prev_first,Advisor - First time playing the game
Study 2 Advisees,advisor_rel_exp,Advisor - How experience are you compared to most people at the game
Study 2 Advisees,advisor_rel_skill,Advisor - How skilled are you compared to most people at the game
Study 2 Advisees,advisor_avg_perf,Advisor - How well you think the average person does on one round of the game you played today (avg num of words found in 1 minute
Study 2 Advisees,advisor_prev_freq,Advisor - How often playing the game
Study 2 Advisees,advisor_input,Advisor - Input device
Study 2 Advisees,advisor_browser,Advisor - Browser
Study 2 Advisees,advisor_adv_imp,Advisor - How much do you think your advice will help them improve?
Study 2 Advisees,advisor_animals,Advisor - Animals named
Study 2 Advisees,animals.wordcount,Number of animals named
Study 2 Advisees,advisor_age,Advisor age
Study 2 Advisees,advisor_gender,Advisor gender
Study 2 Advisees,advisor_language,Advisor language
Study 2 Advisees,advisor_language_TEXT,Advisor language (other)
Study 2 Advisees,advisor_bugreport,Advisor bug report
Study 2 Advisees,advisor_hyp,Advisor hypothesis
Study 2 Advisees,advisor_comments,Advisor comments
Study 2 Advisees,advisor_DO.BR.FL_3,Advisor display order
Study 2 Advisees,cat_s,Score on board by name
Study 2 Advisees,eise_s,Score on board by name
Study 2 Advisees,demi_s,Score on board by name
Study 2 Advisees,lnpk_s,Score on board by name
Study 2 Advisees,mpeh_s,Score on board by name
Study 2 Advisees,nwsr_s,Score on board by name
Study 2 Advisees,woln_s,Score on board by name
Study 2 Advisees,b1,First board seen
Study 2 Advisees,b2,Second board seen
Study 2 Advisees,b3,Third board seen
Study 2 Advisees,b4,Fourth board seen
Study 2 Advisees,b5,Fifth board seen
Study 2 Advisees,b6,Sixth board seen
Study 2 Advisees,s1,Score on first board
Study 2 Advisees,s2,Score on second board
Study 2 Advisees,s3,Score on third board
Study 2 Advisees,s4,Score on fourth board
Study 2 Advisees,s5,Score on fifth board
Study 2 Advisees,s6,Score on sixth board
Study 2 Advisees,advisor_mean,Advisor mean of all boards
Study 2 Advisees,advisor_var,Advisor SE across all boards
Study 2 Advisees,advisor_sd,Advisor SD across all boards
Study 2 Advisees,advisor_median,Advisor Median of all boards
Study 2 Advisees,advisor_advice_wordcount,Number of words in advice
Study 2 Advisees,advisor_animals_wordcount,Number of animals named by advisor
Study 3 Advisor Efficacy,advisor,Advisor ID
Study 3 Advisor Efficacy,advice_text,Advice text
Study 3 Advisor Efficacy,advisor_prev_exp,Advisor - Previous experience with the task
Study 3 Advisor Efficacy,advisor_prev_last,Advisor - (if yes to previous) Most recent time playing before today
Study 3 Advisor Efficacy,advisor_prev_first,Advisor - First time playing the game
Study 3 Advisor Efficacy,advisor_rel_exp,Advisor - How experience are you compared to most people at the game
Study 3 Advisor Efficacy,advisor_rel_skill,Advisor - How skilled are you compared to most people at the game
Study 3 Advisor Efficacy,advisor_avg_perf,Advisor - How well you think the average person does on one round of the game you played today (avg num of words found in 1 minute
Study 3 Advisor Efficacy,advisor_prev_freq,Advisor - How often playing the game
Study 3 Advisor Efficacy,advisor_input,Advisor - Input device
Study 3 Advisor Efficacy,advisor_browser,Advisor - Browser
Study 3 Advisor Efficacy,advisor_adv_imp,Advisor - How much do you think your advice will help them improve?
Study 3 Advisor Efficacy,advisor_age,Advisor age
Study 3 Advisor Efficacy,advisor_gender,Advisor gender
Study 3 Advisor Efficacy,advisor_mean,Advisor mean performance
Study 3 Advisor Efficacy,advisor_var,Advisor performance SE
Study 3 Advisor Efficacy,advisor_sd,Advisor performance SD
Study 3 Advisor Efficacy,advisor_median,Advisor median performance
Study 3 Advisor Efficacy,advisor_advice_wordcount,Number of words in advice
Study 3 Advisor Efficacy,advisor_animals_wordcount,Number of animals named by advisor
Study 3 Advisor Efficacy,advisor_efficacy,Advisor advice efficacy
Study 3 Advisor Efficacy,upper,Advisor advice efficacy + 1 SE
Study 3 Advisor Efficacy,lower,Advisor advice efficacy - 1 SE
Study 3 Advisor Efficacy,rank,Advisor advice efficacy rank
Study 3 Advisor Efficacy,eff_thirds,Advisor advice efficacy third
Study 3 Advisor Efficacy,eff_3split,Advisor advice efficacy split (unused)
Study 3,participant,Participant ID
Study 3,ResponseID,Anonymized Qualtrics Response ID
Study 3,ResponseID,Anonymized Qualtrics Response ID
Study 3,Q_TotalDuration,Study duration in seconds
Study 3,eise_c,Completion code
Study 3,eise_s,Score
Study 3,ad01,Item rating
Study 3,ad02,Item rating
Study 3,ad03,Item rating
Study 3,ad04,Item rating
Study 3,ad05,Item rating
Study 3,ad06,Item rating
Study 3,ad07,Item rating
Study 3,ad08,Item rating
Study 3,ad09,Item rating
Study 3,ad10,Item rating
Study 3,ad11,Item rating
Study 3,ad12,Item rating
Study 3,ad13,Item rating
Study 3,ad14,Item rating
Study 3,ad15,Item rating
Study 3,ad16,Item rating
Study 3,ad17,Item rating
Study 3,ad18,Item rating
Study 3,ad19,Item rating
Study 3,ad20,Item rating
Study 3,ad21,Item rating
Study 3,ad22,Item rating
Study 3,ad23,Item rating
Study 3,ad24,Item rating
Study 3,ad25,Item rating
Study 3,ad26,Item rating
Study 3,ad27,Item rating
Study 3,ad28,Item rating
Study 3,ad29,Item rating
Study 3,ad30,Item rating
Study 3,ad31,Item rating
Study 3,ad32,Item rating
Study 3,ad33,Item rating
Study 3,ad34,Item rating
Study 3,ad35,Item rating
Study 3,ad36,Item rating
Study 3,ad37,Item rating
Study 3,ad38,Item rating
Study 3,ad39,Item rating
Study 3,ad40,Item rating
Study 3,ad41,Item rating
Study 3,ad42,Item rating
Study 3,ad43,Item rating
Study 3,ad44,Item rating
Study 3,ad45,Item rating
Study 3,ad46,Item rating
Study 3,ad47,Item rating
Study 3,ad48,Item rating
Study 3,ad49,Item rating
Study 3,ad50,Item rating
Study 3,ad51,Item rating
Study 3,ad52,Item rating
Study 3,ad53,Item rating
Study 3,ad54,Item rating
Study 3,ad55,Item rating
Study 3,ad56,Item rating
Study 3,ad57,Item rating
Study 3,ad58,Item rating
Study 3,ad59,Item rating
Study 3,ad60,Item rating
Study 3,ad61,Item rating
Study 3,ad62,Item rating
Study 3,ad63,Item rating
Study 3,ad64,Item rating
Study 3,ad65,Item rating
Study 3,ad66,Item rating
Study 3,ad67,Item rating
Study 3,ad68,Item rating
Study 3,ad69,Item rating
Study 3,ad70,Item rating
Study 3,ad71,Item rating
Study 3,ad72,Item rating
Study 3,ad73,Item rating
Study 3,ad74,Item rating
Study 3,ad75,Item rating
Study 3,ad76,Item rating
Study 3,ad77,Item rating
Study 3,ad78,Item rating
Study 3,catch1,Catch item 1
Study 3,catch2,Catch item 2
Study 3,Q16,Qualtrics question display record
Study 3,prev_exp,Previous experience with the task
Study 3,prev_last,(if yes to previous) Most recent time playing before today
Study 3,prev_first,First time playing the game
Study 3,prev_freq,How often playing the game
Study 3,rel_exp,How skilled are you compared to most people at the game
Study 3,rel_skill,How experience are you compared to most people at the game
Study 3,avg_perf_1_TEXT,How well do you think the average person does on one round of the game you played today (avg num of words found in 1 minute
Study 3,input,Input device
Study 3,input_TEXT,Input device (other)
Study 3,browser,Browser
Study 3,browser_TEXT,Browser (which)
Study 3,age,Age
Study 3,gender,Gender
Study 3,catch,Attentional catch response
Study 3,catch_TEXT,Attentional catch response (free response)
Study 3,language,Language
Study 3,language_TEXT,Language (other)
Study 3,bugreport,"Reporting any bugs, errors or glitches in study"
Study 3,hyp,Guessing what the hypothesis is
Study 3,comments,Any other comments
Study 3,HITcode,Did they submit a HIT code?
Study 3,DO-BL-Advice,Item display order
Study 3,exclude,Exclude?
Study 3,exclude_why,Exclude (why)
Study 3,r_1,Rating display order
Study 3,r_2,Rating display order
Study 3,r_3,Rating display order
Study 3,r_4,Rating display order
Study 3,r_5,Rating display order
Study 3,r_6,Rating display order
Study 3,r_7,Rating display order
Study 3,r_8,Rating display order
Study 3,r_9,Rating display order
Study 3,r_10,Rating display order
Study 3,r_11,Rating display order
Study 3,r_12,Rating display order
Study 3,r_13,Rating display order
Study 3,r_14,Rating display order
Study 3,r_15,Rating display order
Study 3,r_16,Rating display order
Study 3,r_17,Rating display order
Study 3,r_18,Rating display order
Study 3,r_19,Rating display order
Study 3,r_20,Rating display order
Study 3,r_21,Rating display order
Study 3,r_22,Rating display order
Study 3,r_23,Rating display order
Study 3,r_24,Rating display order
Study 3,r_25,Rating display order
Study 3,r_26,Rating display order
Study 3,s_1,Score by order
Study 3,s_2,Score by order
Study 3,s_3,Score by order
Study 3,s_4,Score by order
Study 3,s_5,Score by order
Study 3,s_6,Score by order
Study 3,s_7,Score by order
Study 3,s_8,Score by order
Study 3,s_9,Score by order
Study 3,s_10,Score by order
Study 3,s_11,Score by order
Study 3,s_12,Score by order
Study 3,s_13,Score by order
Study 3,s_14,Score by order
Study 3,s_15,Score by order
Study 3,s_16,Score by order
Study 3,s_17,Score by order
Study 3,s_18,Score by order
Study 3,s_19,Score by order
Study 3,s_20,Score by order
Study 3,s_21,Score by order
Study 3,s_22,Score by order
Study 3,s_23,Score by order
Study 3,s_24,Score by order
Study 3,s_25,Score by order
Study 3,s_26,Score by order
Study 4 Coder A,advice_id,Advisor ID
Study 4 Coder A,advicetext,Advice text
Study 4 Coder A,authoritative,authoritative rating
Study 4 Coder A,actionable,actionable rating
Study 4 Coder A,articulate,articulate rating
Study 4 Coder A,amount,amount rating
Study 4 Coder A,affirmatives,affirmatives rating
Study 4 Coder A,negatives,negatives rating
Study 4 Coder A,obviousness,obviousness rating
Study 4 Coder B,advice_id,Advisor ID
Study 4 Coder B,advicetext,Advice text
Study 4 Coder B,authoritative,authoritative rating
Study 4 Coder B,actionable,actionable rating
Study 4 Coder B,articulate,articulate rating
Study 4 Coder B,amount,amount rating
Study 4 Coder B,affirmatives,affirmatives rating
Study 4 Coder B,negatives,negatives rating
Study 4 Coder B,obviousness,obviousness rating
Study 4 Ratings,advisor,Advisor ID
Study 4 Ratings,advice_text,Advice text
Study 4 Ratings,wordcount,Advice wordcount
Study 4 Ratings,TEACHER.perception.of.effectiveness,Advisor self efficacy
Study 4 Ratings,age,Age
Study 4 Ratings,gender,Gender
Study 4 Ratings,TEACHER.PERFORMANCE.(low.is.bad),Advisor performance
Study 4 Ratings,STUDENT.improvement,Advisee improvement
Study 4 Ratings,STUDENT.Perception.of.advice.quality.(help),Advisee perceived helpfulness of advice
Study 4 Ratings,STUDENT.perception.of.advice.quality.(improvement),Advisee perceived improvement of advice
Study 4 Ratings,RATER.perception.of.advice.quality.(helpfulness),Mean helpfulness rating from Study 3
Study S1 Advisors,advisor,Advisor ID
Study S1 Advisors,advisornum,Advisor Code
Study S1 Advisors,advisorThrow0,Throw score
Study S1 Advisors,advisorThrow1,Throw score
Study S1 Advisors,advisorThrow2,Throw score
Study S1 Advisors,advisorThrow3,Throw score
Study S1 Advisors,advisorThrow4,Throw score
Study S1 Advisors,advisorThrow5,Throw score
Study S1 Advisors,advisorThrow6,Throw score
Study S1 Advisors,advisorThrow7,Throw score
Study S1 Advisors,advisorThrow8,Throw score
Study S1 Advisors,advisorThrow9,Throw score
Study S1 Advisors,advisorThrow10,Throw score
Study S1 Advisors,advisorThrow11,Throw score
Study S1 Advisors,advisorThrow12,Throw score
Study S1 Advisors,advisor_misses,Number of misses
Study S1 Advisors,advisor_handed,Right or left handed
Study S1 Advisors,advisor_obs,Were they watched
Study S1 Advisors,advisor_playedbefore,Played before
Study S1 Advisors,advisors_playedyears,How many years playing
Study S1 Advisors,advisor_playedoften,How often playing
Study S1 Advisors,advisor_adv_helpf,Predicted helpfulness
Study S1 Advisors,advisor_well,Performance compared to average others
Study S1 Advisors,advisor_advicebefore,Given advice about this before
Study S1 Advisors,advisor_english,Advisor language
Study S1 Advisors,advisor_age,Advisor age
Study S1 Advisors,advisor_gender,Advisor gender
Study S1 Advisors,advisor_hyp,Hypothesis guess
Study S1 Advisors,advisor_advice_text,Advice text
Study S1 Advisors,advisor_advice_wordcount,Advice wordcount
Study S1 Advisees,participant,Participant ID
