advisor_pid,advisor,advisor_ResponseID,advisor_duration,advisor_browser_meta,advisor_consent_t_3,advisor_Intro_t_3,advisor_Line_t_3,advisor_Line2_c,advisor_Practice_c,advisor_itz_c,advisor_iud_c,advisor_hjt_c,advisor_ypl_c,advisor_sqt_c,advisor_yto_c,advisor_jfm_c,advisor_kte_c,advisor_bga_c,advisor_lnc_c,advisor_board_mean,advisor_board_median,advisor_adv_inst_t_3,advisor_advice,advisor_advice_t_3,advisor_subexp,advisor_subskill,advisor_input,advisor_browser_report,advisor_avg_perf,advisor_adv_eff_1,advisor_age,advisor_gender,advisor_vision,advisor_language,advisor_language2,StudyGuess,Comments,advisor_board_order,advisor_b1,advisor_b2,advisor_b3,advisor_b4,advisor_b5,advisor_b6,advisor_b7,advisor_b8,advisor_b9,advisor_b10,advisor_s1,advisor_s2,advisor_s3,advisor_s4,advisor_s5,advisor_s6,advisor_s7,advisor_s8,advisor_s9,advisor_s10,exclude,exclude_why
46,ap11,R_22kRZzZjZHmXqPK,836,Firefox,2.223,13.86,6.084,2.49,26.805,52.152,28.65,22.97,48.141,18.619,24.17,61.776,34.458,22.379,23.127,33.6442,26.41,24.251,Connect the colors that are closer together first. Then fill up the rest of the space with the farther apart colors. Try to hug the walls whenever possible. Try to leave plenty of space in the middle of the board.,97.186,1,1,mouse,Mozilla Firefox,30,20,29,male,1,1,,to find out how popl give advises for puzzle games,,hjt|ypl|yto|itz|iud|bga|lnc|kte|jfm|sqt,hjt_c,ypl_c,yto_c,itz_c,iud_c,bga_c,lnc_c,kte_c,jfm_c,sqt_c,22.97,48.141,24.17,52.152,28.65,22.379,23.127,34.458,61.776,18.619,NA,NA
100,ap12,R_cSZiMiYefM9vpn3,766,Chrome,45.05,18.583,7.345,3.752,15.009,27.895,37.05,35.639,21.448,66.934,19.313,22.215,20.154,46.59,25.81,32.3048,26.8525,18.646,The main thing to focus on first are the dots that are the closest together.  Those have the least possible pathways.  Also try to do the ones first that you realize can't have very many possible paths.,43.234,1,1,mouse,Google Chrome,15,60,37,female,1,1,,I'm not sure.,,ypl|hjt|iud|lnc|jfm|bga|itz|sqt|kte|yto,ypl_c,hjt_c,iud_c,lnc_c,jfm_c,bga_c,itz_c,sqt_c,kte_c,yto_c,21.448,35.639,37.05,25.81,22.215,46.59,27.895,66.934,20.154,19.313,NA,NA
99,ap13,R_3CPFibPRGOf1Zq0,596,Chrome,15.058,11.049,4.103,4.337,22.339,59.744,20.975,35.886,19.108,31.188,26.158,40.408,16.124,19.242,27.6,29.6433,26.879,16.651,try starting by connecting the dots that are closest together first. then weave dots together around those. finish around the perimeter of the board last.,31.67,2,2,mouse,Google Chrome,20,52,31,female,1,1,,unsure,,itz|hjt|bga|lnc|sqt|jfm|ypl|yto|kte|iud,itz_c,hjt_c,bga_c,lnc_c,sqt_c,jfm_c,ypl_c,yto_c,kte_c,iud_c,59.744,35.886,19.242,27.6,31.188,40.408,19.108,26.158,16.124,20.975,NA,NA
76,ap14,R_27e6qvKbbKuHLoP,1704,Chrome,3.506,1018.995,31.627,6.601,17.8,34.312,39.639,41.583,28.162,24.648,43.408,25.968,25.089,24.647,17.08,30.4536,27.065,16.595,"Try to stay to the outside as much as possible, and work your way inward",20.243,1,2,mouse,Google Chrome,45,43,25,male,1,1,,I don't know,,yto|ypl|jfm|itz|bga|iud|lnc|kte|sqt|hjt,yto_c,ypl_c,jfm_c,itz_c,bga_c,iud_c,lnc_c,kte_c,sqt_c,hjt_c,43.408,28.162,25.968,34.312,24.647,39.639,17.08,25.089,24.648,41.583,NA,NA
18,ap15,R_qyjKqQTorytBwaZ,857,Firefox,6.762,38.572,6.348,3.208,20.792,30.624,28.624,25.664,23.128,22.408,32.592,25.192,22.792,32.511,36.048,27.9583,27.144,37.656,When completing the board its easiest to make all the small simple connections first and then work your way out to the longer ones.,126.255,2,2,mouse,Mozilla Firefox,29,20,31,male,1,1,,honestly no clue... following directions maybe?,,itz|sqt|iud|bga|ypl|lnc|hjt|yto|jfm|kte,itz_c,sqt_c,iud_c,bga_c,ypl_c,lnc_c,hjt_c,yto_c,jfm_c,kte_c,30.624,22.408,28.624,32.511,23.128,36.048,25.664,32.592,25.192,22.792,NA,NA
70,ap16,R_3k1BFu9epk78aVH,661,Firefox,2.349,13.904,4.383,3.573,40.014,26.307,44.202,29.038,19.933,26.052,60.281,36.285,28.766,19.101,25.663,31.5628,27.5365,17.4,Start with the largest gap between colored dots and move backwards from there.,22.109,1,2,mouse,Mozilla Firefox,35,49,32,male,1,1,,not sure,,lnc|hjt|iud|itz|yto|bga|ypl|sqt|kte|jfm,lnc_c,hjt_c,iud_c,itz_c,yto_c,bga_c,ypl_c,sqt_c,kte_c,jfm_c,25.663,29.038,44.202,26.307,60.281,19.101,19.933,26.052,28.766,36.285,NA,NA
32,ap17,R_DUyg26dF9lYeHlv,920,Firefox,10.306,17.754,11.154,4.05,14.409,21.829,16.944,42.513,50.93,29.239,32.551,16.873,28.31,16.964,39.071,29.5224,28.7745,27.409,First start with the dots of the same color that are close to each other and connect those ones first. Then you will be able to see a distinct path for the longer lines of the same color to connect. Once you complete the first few it gets easier each time.,145.555,1,1,mouse,Mozilla Firefox,24,40,28,female,1,1,,How people write instructions and give advice.,I thought this was a very fun task. Thank you,ypl|sqt|hjt|kte|lnc|itz|iud|jfm|yto|bga,ypl_c,sqt_c,hjt_c,kte_c,lnc_c,itz_c,iud_c,jfm_c,yto_c,bga_c,50.93,29.239,42.513,28.31,39.071,21.829,16.944,16.873,32.551,16.964,NA,NA
34,ap18,R_1mXf5zzbu68s5xn,1349,Chrome,10.243,32.986,6.242,3.74,42.61,40.394,30.355,20.4,21.628,27.304,24.261,37.15,26.672,53.255,42.17,32.3589,28.8295,50.097,Much easier using a normal mouse on a hard surface. Make sure when you're connecting lines you don't accidentally hit another line or it breaks it up and you have to redo it from where you hit it. Boards aren't too complicated. You just need to take a few seconds at the start and look at the whole board. I found it easier to connect the farthest dots first and work my way down to the ones that were closest to each other. Don't really need any sort of strategy. Just try and draw the lines on the outside of the board and work your way into the middle.,311.669,1,1,mouse,Google Chrome,25,31,34,male,1,1,,how well we give advice,,kte|jfm|lnc|itz|sqt|yto|bga|iud|hjt|ypl,kte_c,jfm_c,lnc_c,itz_c,sqt_c,yto_c,bga_c,iud_c,hjt_c,ypl_c,26.672,37.15,42.17,40.394,27.304,24.261,53.255,30.355,20.4,21.628,NA,NA
84,ap19,R_1gTQH5QaBRWTOcb,896,Chrome,45.89,18.717,4.895,3.349,18.911,40.069,27.056,32.833,17.4,25.371,22.981,34.173,30.624,54.27,16.5,30.1277,28.84,19.875,"The objective should be to find the pairs of dots that connect in order of decreasing difficulty. That is, connect the two dots which are most difficult to connect first, followed by the next most difficult pair of dots to connect, and so on. If a mistake is made, do not worry about undoing it. Just continue with the next correct action as connecting two dots over an existing path will overwrite any previous paths.",207.431,1,1,mouse,Google Chrome,30,50,30,male,1,1,,I think this study may have been about learning about forming strategies in games.,None,bga|sqt|jfm|hjt|iud|kte|yto|lnc|ypl|itz,bga_c,sqt_c,jfm_c,hjt_c,iud_c,kte_c,yto_c,lnc_c,ypl_c,itz_c,54.27,25.371,34.173,32.833,27.056,30.624,22.981,16.5,17.4,40.069,NA,NA
79,ap20,R_1MKZOmoHd9DdSGI,730,Chrome,4.697,20.214,5.384,4.533,32.501,20.796,29.375,35.971,29.109,39,26.688,28.663,28.051,34.253,18.74,29.0646,28.886,16.845,The only piece of advice I can really offer is just go for it. don't try to strategize or think it out. Just start and see if certain moves work.  / ,71.513,2,2,mouse,Google Chrome,30,31,22,female,1,1,,giving people advice on colorlink / ,,iud|itz|sqt|lnc|kte|yto|jfm|hjt|ypl|bga,iud_c,itz_c,sqt_c,lnc_c,kte_c,yto_c,jfm_c,hjt_c,ypl_c,bga_c,29.375,20.796,39,18.74,28.051,26.688,28.663,35.971,29.109,34.253,NA,NA
75,ap21,R_3yEtNRYismv3Zy9,2514,Chrome,6.075,23.643,10.996,12.177,82.496,259.927,62.687,83.776,113.495,230.585,461.8,44.793,39.974,121.912,83,150.1949,98.6355,68.258,"Puzzles like this are not my strong suit but I still enjoy the challenge, even if they are a bit frustrating for me. What I did was randomly start connecting colors and redoing them over and over as I saw where by connecting one color another would be blocked from being able to connect. By trial and error I was eventually able to connect all the colors with none being blocked and thus cleared the boards. The biggest drawback to my method is that it can be quite time consuming. I wish I could give better advice but I do not have the most analytical mind. That's the best advice I can give you, other than just relax with it and have fun!",239.31,1,1,mouse,Google Chrome,30,1,60,female,1,1,,I am not certain.,"On the first two or three boards I was unable to copy and paste the completion code and had to type them in manually. I hope I typed them correctly with no transpositions or typos. If there are errors in the first few codes I hope that won't be held against me and result in a rejection. /  / Thank you for the opportunity to play a fun, challenging, somewhat frustrating game. I wish I had been able to give better advice on game play but I am not very good at developing or explaining strategies.",hjt|lnc|sqt|itz|kte|iud|jfm|yto|bga|ypl,hjt_c,lnc_c,sqt_c,itz_c,kte_c,iud_c,jfm_c,yto_c,bga_c,ypl_c,83.776,83,230.585,259.927,39.974,62.687,44.793,461.8,121.912,113.495,NA,NA
4,ap21,R_1gC8lM83GAoHepz,3576,Chrome,88.078,15.434,8.715,5.704,124.893,25.736,31.184,71.659,19.021,55,38.723,43.57,24.75,23.883,26.95,36.0476,29.067,19.288,Take your time.  Focus on one color at a time and be flexible to change your paths.  ,40.53,1,1,mouse,Google Chrome,25,25,36,male,1,1,,,,iud|sqt|bga|itz|ypl|jfm|lnc|yto|hjt|kte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,duration more than 4 SDs out from mean
71,ap22,R_2feYQCfZqwFf0AF,1012,Firefox,7.868,37.315,5.982,4.792,25.063,32.287,33.968,23.987,32.52,22.08,25.903,21.719,42.648,34.64,27.48,29.7232,29.8835,36.851,Start with the the ones that are closest to the edges of the board.  Get the long ones out of the way and then worry about the ones that are close together.  Don't overthink it.  It's not too difficult.,80.113,2,2,mouse,Mozilla Firefox,20,4,34,female,1,1,,not sure,,bga|ypl|iud|kte|itz|lnc|yto|hjt|jfm|sqt,bga_c,ypl_c,iud_c,kte_c,itz_c,lnc_c,yto_c,hjt_c,jfm_c,sqt_c,34.64,32.52,33.968,42.648,32.287,27.48,25.903,23.987,21.719,22.08,NA,NA
14,ap23,R_29Kpg5kuUH1VIbf,901,Firefox,5.298,21.186,7.126,9.199,14.366,24.776,31.467,31.821,30.056,30.55,28.14,29.919,35.599,16.316,31.337,28.9981,30.303,39.755,"Focus on connecting the dots that are the furthest apart first.  That way you have a better chance of not having to undo the shorter connections later if your longer paths are blocked.  Also, be fluid in drawing your lines.  You don't have to go one square by one square.  Just draw fluidly to save time.",177.801,1,1,mouse,Mozilla Firefox,22,50,34,male,1,1,,Giving advice on Colorlink.,,itz|sqt|ypl|yto|iud|lnc|hjt|kte|jfm|bga,itz_c,sqt_c,ypl_c,yto_c,iud_c,lnc_c,hjt_c,kte_c,jfm_c,bga_c,24.776,30.55,30.056,28.14,31.467,31.337,31.821,35.599,29.919,16.316,NA,NA
96,ap24,R_WxmlHMp5SFv2cmd,815,Chrome,17.628,14.021,8.003,4.065,14.904,14.057,20.68,54.36,29.283,33.416,52.511,17,31.703,23.111,42.702,31.8823,30.493,31.818,"When it comes to connecting all the colors, set small goals. connect one color and then another, and don't be afraid to mess up. a lot of your solutions will come from failures. ",113.538,1,2,mouse,Google Chrome,40,20,29,male,1,1,,n/a,,yto|lnc|ypl|iud|kte|sqt|hjt|jfm|itz|bga,yto_c,lnc_c,ypl_c,iud_c,kte_c,sqt_c,hjt_c,jfm_c,itz_c,bga_c,52.511,42.702,29.283,20.68,31.703,33.416,54.36,17,14.057,23.111,NA,NA
41,ap25,R_1NFxCrajLYiCJtQ,1264,Chrome,7.046,20.487,6.249,10.328,18.48,31.913,29.088,26.009,33.031,18.98,257.117,26.13,33.16,71.57,26.191,55.3189,30.5005,25.032,"Quickly scan the board for dots that can only be connected in one way and connect them first. The remaining ones will fall into place more easily once those are finished. As you are connecting the remaining dots, pay attention to the path you are taking and make sure it does not block the paths that will need to be used to connect the other dots.",145.599,1,1,mouse,Google Chrome,30,60,52,female,1,1,,To see how well one is able to play and game and then translate what one has learned into advice for someone else.,no comments,lnc|yto|bga|kte|iud|itz|jfm|hjt|ypl|sqt,lnc_c,yto_c,bga_c,kte_c,iud_c,itz_c,jfm_c,hjt_c,ypl_c,sqt_c,26.191,257.117,71.57,33.16,29.088,31.913,26.13,26.009,33.031,18.98,NA,NA
29,ap26,R_27JYvzmASlvCf0c,881,Chrome,20.116,28.931,9.225,2.692,24.848,34.014,62.138,24.823,24.226,31.484,51.722,27.528,29.874,60.354,27.221,37.3384,30.679,27.757,"Generally try to start with the color that has the two dots that are closest together, knocking those out will clear up how the board will look at the end. Also try to work from outside in, taking care of all the outside squares first so that you don't finish a level with a random square available.",69.642,1,1,trackpad,Google Chrome,45,57,25,male,1,1,,how well people can explain what they use to be successful ,,iud|ypl|sqt|lnc|bga|hjt|itz|kte|yto|jfm,iud_c,ypl_c,sqt_c,lnc_c,bga_c,hjt_c,itz_c,kte_c,yto_c,jfm_c,62.138,24.226,31.484,27.221,60.354,24.823,34.014,29.874,51.722,27.528,NA,NA
39,ap27,R_1msFJj35kBBgglb,1160,Chrome,7.601,28.47,7.281,8.359,27.33,38.446,94.747,30.147,22.572,16.831,65.216,18.243,59.427,15.651,31.988,39.3268,31.0675,23.242,"Always connect the 2 closest dots first and work from there. If you are having trouble thinking of how it should fit together, just start connecting the dots and replace the ones you did incorrectly because it will be easier for you to see what will fit when there aren't as many open spaces left.",88.481,1,1,mouse,Google Chrome,60,100,24,male,1,1,,I think the study was about processing visual images and figuring out path routes.,I thought that was a very fun game. It was cool to see how my times got lower with the more practice I had.,iud|hjt|yto|jfm|itz|ypl|sqt|bga|lnc|kte,iud_c,hjt_c,yto_c,jfm_c,itz_c,ypl_c,sqt_c,bga_c,lnc_c,kte_c,94.747,30.147,65.216,18.243,38.446,22.572,16.831,15.651,31.988,59.427,NA,NA
11,ap28,R_2q2hlY6l88Bn3ZM,737,Chrome,2.673,8.484,4.938,4.04,59.459,25.07,26.783,40.049,23.895,71.32,36.078,48.731,15.075,23.982,54.896,36.5879,31.4305,16.002,Try to connect the dots right off the bat instead of trying to figure it out in your head. Many of the solutions will come when you can visually see them.,27.3,1,1,mouse,Google Chrome,50,31,30,male,1,1,,Not sure.,,jfm|yto|lnc|sqt|kte|hjt|bga|iud|itz|ypl,jfm_c,yto_c,lnc_c,sqt_c,kte_c,hjt_c,bga_c,iud_c,itz_c,ypl_c,48.731,36.078,54.896,71.32,15.075,40.049,23.982,26.783,25.07,23.895,NA,NA
74,ap29,R_24penww9WElKq7w,934,Chrome,5.406,44.279,7.585,6.057,32.537,52.969,38.545,28.849,32.119,36.18,31.629,25.012,28.401,30.755,53.369,35.7828,31.874,24.742,"It is usually easier if you connect the closest ones first. Start from the inside and work your way out. If you are having a tough time with one color, move on to the next, and come back to it later. ",80.72,1,2,mouse,Google Chrome,35,70,36,male,1,1,,How well we do at games. ,,bga|iud|sqt|ypl|jfm|yto|lnc|itz|kte|hjt,bga_c,iud_c,sqt_c,ypl_c,jfm_c,yto_c,lnc_c,itz_c,kte_c,hjt_c,30.755,38.545,36.18,32.119,25.012,31.629,53.369,52.969,28.401,28.849,NA,NA
67,ap30,R_1QJzgjXdoIK4aQ5,890,Firefox,6.461,34.53,6.772,5.053,55.426,31.527,29.198,32.434,20.789,31.338,71.836,42.318,56.598,20.371,52.33,38.8739,31.9805,27.401,"Just go for it, start connecting colors right away and it will quickly become apparent how to complete the board",77.17,1,1,trackpad,Mozilla Firefox,45,50,39,male,1,1,,I honestly have no idea,none,yto|itz|jfm|hjt|kte|sqt|bga|iud|lnc|ypl,yto_c,itz_c,jfm_c,hjt_c,kte_c,sqt_c,bga_c,iud_c,lnc_c,ypl_c,71.836,31.527,42.318,32.434,56.598,31.338,20.371,29.198,52.33,20.789,NA,NA
44,ap31,R_3HtD0S9PTLvRFpa,961,Chrome,14.366,23.973,15.001,4.956,21.159,21.285,32.921,43.229,25.064,26.8,48.995,31.157,75.516,23.706,37.511,36.6184,32.039,24.988,"you will need to use patience.  it is important to plan your moves with care.  try to connect the close items first, then work your way up to the larger distance items.",62.282,1,2,mouse,Google Chrome,40,88,37,female,1,1,,to see how one uses experience to give advice to help others.,,bga|sqt|itz|iud|yto|ypl|kte|hjt|lnc|jfm,bga_c,sqt_c,itz_c,iud_c,yto_c,ypl_c,kte_c,hjt_c,lnc_c,jfm_c,23.706,26.8,21.285,32.921,48.995,25.064,75.516,43.229,37.511,31.157,NA,NA
92,ap32,R_1PTAuBxcGTJUg0x,900,Chrome,101.717,5.822,3.63,2.509,29.88,36.093,29.548,71.229,41.149,20.539,100.344,32.615,29.257,27.622,34.23,42.2626,33.4225,16.16,Dont try to figure it out all in your head. Go ahead and start connecting immediatly then fix it as you go along ,32.136,2,2,trackpad,Google Chrome,30,65,23,male,1,1,,,,hjt|lnc|bga|yto|sqt|jfm|iud|itz|ypl|kte,hjt_c,lnc_c,bga_c,yto_c,sqt_c,jfm_c,iud_c,itz_c,ypl_c,kte_c,71.229,34.23,27.622,100.344,20.539,32.615,29.548,36.093,41.149,29.257,NA,NA
47,ap33,R_27pwGT93rzOTm0D,896,Chrome,2.424,20.256,5.083,17.793,31.193,33.103,33.873,23.966,28.985,72.53,15.759,43.151,24.937,132.912,73.799,48.3015,33.488,20.063,If you can't seem to figure it out then start over and do something different.,13.974,2,3,mouse,Google Chrome,80,51,33,female,1,1,,To see how well people could perform.,No.,ypl|yto|jfm|lnc|kte|bga|iud|sqt|hjt|itz,ypl_c,yto_c,jfm_c,lnc_c,kte_c,bga_c,iud_c,sqt_c,hjt_c,itz_c,28.985,15.759,43.151,73.799,24.937,132.912,33.873,72.53,23.966,33.103,NA,NA
7,ap34,R_3G8wp5Ju80WwcVo,869,Firefox,10.099,21.473,6.954,4.325,31.827,83.494,80.582,28.498,29.924,35.234,54.308,31.262,19.446,38.107,32.864,43.3719,34.049,23.834,"When trying to connect colors that look farthest from each other, try and use the route that is least direct. One that uses up most boxes.",55.674,1,2,mouse,Internet Explorer,38,60,30,male,1,1,,not sure,,itz|sqt|iud|jfm|hjt|kte|yto|lnc|bga|ypl,itz_c,sqt_c,iud_c,jfm_c,hjt_c,kte_c,yto_c,lnc_c,bga_c,ypl_c,83.494,35.234,80.582,31.262,28.498,19.446,54.308,32.864,38.107,29.924,NA,NA
59,ap35,R_2Cwc4k0FKfjcZqj,863,Chrome,2.732,13.315,7.769,3.083,27.478,50.093,35.355,39.742,24.941,35.537,29.418,28.047,61.919,14.571,33.36,35.2983,34.3575,20.393,"Try to connect the harder ones first maybe, like if one of the dot things is somewhere where there is only one way in or out do that one first and the rest later probably?",95.473,1,1,mouse,Google Chrome,30,8,39,female,1,1,,I'm not sure,,iud|itz|sqt|jfm|bga|ypl|hjt|yto|kte|lnc,iud_c,itz_c,sqt_c,jfm_c,bga_c,ypl_c,hjt_c,yto_c,kte_c,lnc_c,35.355,50.093,35.537,28.047,14.571,24.941,39.742,29.418,61.919,33.36,NA,NA
66,ap36,R_3G9Pb68N6QycKfs,821,Chrome,11.593,19.341,8.814,5.13,37.229,34.848,28.691,65.321,30.294,65.576,71.169,30.548,52.963,34.822,33.218,44.745,34.835,16.4,connect the dots that are closest together first before moving on to dots further apart. ,47.166,1,1,trackpad,Google Chrome,50,60,26,female,1,1,,not sure,,hjt|itz|bga|ypl|lnc|jfm|sqt|iud|yto|kte,hjt_c,itz_c,bga_c,ypl_c,lnc_c,jfm_c,sqt_c,iud_c,yto_c,kte_c,65.321,34.848,34.822,30.294,33.218,30.548,65.576,28.691,71.169,52.963,NA,NA
