advisor,participant,ResponseID,Q_TotalDuration,inst1_t_3,inst2_t_3,eise_d,adv_inst_t_3.x,lnpk_d,mpeh_d,woln_d,demi_d,nwsr_d,prev_exp,prev_last,prev_first,prev_freq,adv_exp,adv_skill,adv_help_hyp,adv_imp_hyp,adv_helpf,adv_imp_1,rel_exp,rel_skill,avg_perf_1_TEXT,adv_perf_1_TEXT,input,browser,animals,age,gender,language,condition,exclude,exclude_why,adv_inst_t_3.y,advice,advisor_advice_writing_time,advisor_prev_exp,advisor_prev_last,advisor_prev_first,advisor_rel_exp,advisor_rel_skill,advisor_avg_perf,advisor_prev_freq,advisor_input,advisor_browser,advisor_adv_imp,advisor_animals,animals.wordcount,advisor_age,advisor_gender,advisor_language,advisor_language_TEXT,advisor_bugreport,advisor_hyp,advisor_comments,advisor_DO.BR.FL_3,cat_s,eise_s,demi_s,lnpk_s,mpeh_s,nwsr_s,woln_s,b1,b2,b3,b4,b5,b6,s1,s2,s3,s4,s5,s6,advisor_mean,advisor_var,advisor_sd,advisor_median,advisor_advice_wordcount,advisor_animals_wordcount
ad56,11,R_3QRAPmn4wqc5nMB,782,13.124,23.443,16,16.676,17,19,14,17,15,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,Less than once a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,6,60,I was as experienced as most people,I was as skilled as most people,8,10,mouse,Google Chrome,"cat, dog, snake, bat rat, pig, whale, seal, platypus, goat, ram, sheep, fish, elephant, rhino, giraffe, gorilla, mink, skunk, badger, ",33,Male,"Yes, I only spoke English growing up",treatment,NA,NA,17.02,"Make sure your mouse is on the correct letter before you start making your word. Make sure you look for plurals. For every word you find, see if other words can be found in it, like by reading the word backwards.",42.435,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,15,Less than once a year,trackpad,Google Chrome,20,"giraffe, cat, dog, goat, chicken, horse, cow, pig, cardinal, blue jay, tiger, lion, bear, sloth, lizard, frog, alligator, crocodile, rat, mouse, ferret, fish, monkey, gorilla, ",20,25,Female,"Yes, I only spoke English growing up",NA,No,How people think they compare to others,NA,demi|lnpk|eise|woln|nwsr|mpeh,1,14,14,9,16,19,16,demi_s,lnpk_s,eise_s,woln_s,nwsr_s,mpeh_s,14,9,14,16,19,16,14.66666667,11.06666667,3.326659987,15,41,25
ad01,12,R_1gGbm9gClB1nJjy,934,26.061,26.131,5,20.003,9,8,12,13,12,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,5,55,I was as experienced as most people,I was as skilled as most people,10,11,mouse,Google Chrome,"Zebra, lion, camel, elephant, giraffe, cat, dog, monkey, rat, rabbit, armadillo, rhinoceros, hippopotamus, panda, cheetah, ",34,Female,"Yes, I only spoke English growing up",treatment,NA,NA,16.873,try to look for three letter words since they are easy to find,32.116,"Yes, I've played some version of this game before",Over a year ago,Within the last 3 years,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,mouse,Mozilla Firefox,81,"cat, dog, rat, snake, pig, cow, goat, sheep, wolf, hyena, bear, lion, tiger, fox, elephant, orangutan, chimpanzee, monkey, gorilla, ",15,22,Female,"Yes, I only spoke English growing up",NA,no,assessing vocabulary,NA,nwsr|woln|mpeh|demi|eise|lnpk,1,13,10,11,9,9,6,nwsr_s,woln_s,mpeh_s,demi_s,eise_s,lnpk_s,9,6,9,10,13,11,9.666666667,5.466666667,2.338090389,9.5,13,19
ad18,13,R_2ebquHc8qT6bVwJ,854,37.038,33.421,8,17.211,9,10,10,11,11,"No, I've never played any version of this game before",NA,NA,I never play word-finding games,They were more skilled than most people,They were about as skilled as me,NA,NA,5,52,I was as experienced as most people,I was as skilled as most people,8,8,trackpad,Google Chrome,"Giraffe, monkey, donkey, pig, goat, monkey, cow, ostrich, gazelle, gorilla, chimpanzee, duck, dog, cat, bird, fish, rabbit, hamster, mouse, rat, ",29,Female,"Yes, I only spoke English growing up",treatment,NA,NA,17.913,1.  Look for vowels.  All words need one. / 2. Work around a single vowel until you have found all words with that vowel. / 3. YOu might start with vowel on top of board.  Then move to another vowel on bottom of board to make sure you do not duplicate.,138.337,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was less experienced than most people,I was less skilled than most people,10,Less than once a year,trackpad,Google Chrome,14,"Anteaters, Bear, cat, dog, elephant, fox, Giraffe,  lion, merkat, opossum",20,69,Female,"Yes, I only spoke English growing up",NA,no problems at all,how many words I can find --with encouragement and feedback,everything was fine,demi|eise|lnpk|woln|nwsr|mpeh,1,5,4,8,7,8,5,demi_s,eise_s,lnpk_s,woln_s,nwsr_s,mpeh_s,4,5,8,5,8,7,6.166666667,2.966666667,1.722401424,6,46,10
ad53,14,R_3E9zpxiwpN8HEHe,961,13.16,48.982,1,18.929,6,5,1,5,10,"No, I've never played any version of this game before",NA,NA,A few times a year,They were more skilled than most people,They were more skilled than me,NA,NA,4,20,I was as experienced as most people,I was as skilled as most people,3,7,trackpad,Google Chrome,"cat, dog, bat, rat, horse, cow, sheep, zebra, giraffe,lion,monkey,pig,bird,eagle,hawk,bear,fish,snake,boar,rabbit,squirrel,chipmunk, ",22,Male,"Yes, I only spoke English growing up",treatment,NA,NA,56.584,"Try to focus on small words that are three or four letters long because you should be able to find those quicker. Try to focus on the vowels because if I'm not mistaken most words have vowels. Also, try to scan in all different directions to try to put a short word together.",609.096,I'm not sure,NA,NA,I was less experienced than most people,I was less skilled than most people,4,Less than once a year,mouse,Google Chrome,20,"lion,tiger,elephant,giraffe,cat,mouse,dog,monkey,zebra,",22,39,Male,"Yes, I only spoke English growing up",NA,No.,"Sorry, I have no idea.",NA,eise|mpeh|lnpk|nwsr|woln|demi,1,0,1,2,4,2,3,eise_s,mpeh_s,lnpk_s,nwsr_s,woln_s,demi_s,0,4,2,2,3,1,2,2,1.414213562,2,53,9
ad29,15,R_3rYzv8oHb0BdPyn,813,18.137,17.413,8,16.261,10,15,14,16,20,"Yes, I've played some version of this game before",Within the last month,More than 5 years ago,A few times a week,They were about as skilled as most people,They were about as skilled as me,NA,NA,1,0,I was more experienced than most people,I was more skilled than most people,18,25,mouse,Mozilla Firefox,"koala, dog, cat, bird, whale, shark, dolphin, orca, snake, parakeet, mole, rat, mouse, bat, rabbit, cow, deer, moose, elk, turkey, chicken, pig, ",30,Female,"Yes, I only spoke English growing up",treatment,NA,NA,16.917,"look for letters that are next to vowels or common consonant combinations like ""st"" or ""th.""  Rember that 3-letter words are acceptable and often you can then make 4-letter words with the same 3 letters.  Sometimes you can make 5-letter words with 4-letter words you have made by adding an ""s."" Avoid rarely used letters like ""x.""",133.354,I'm not sure,NA,NA,I was more experienced than most people,I was more skilled than most people,5,A few times a year,mouse,Google Chrome,39,"fox, cat, dog, cow, horse, deer, elk, moose, rabbit, chicken, hamster, rat, bird, turkey, wolf, elephant, zebra, lion, bear, antelope, anteeater, ",22,68,Female,"Yes, I only spoke English growing up",NA,none,I don't know,NA,woln|mpeh|nwsr|eise|demi|lnpk,1,5,10,10,9,8,5,woln_s,mpeh_s,nwsr_s,eise_s,demi_s,lnpk_s,5,9,8,5,10,10,7.833333333,5.366666667,2.316606714,8.5,56,21
ad22,16,R_3KCQahuHiqSmVs2,1328,12.93,62.011,3,19.288,3,8,5,11,10,"No, I've never played any version of this game before",NA,NA,A few times a year,They were more skilled than most people,They were more skilled than me,NA,NA,7,80,I was as experienced as most people,I was as skilled as most people,5,8,trackpad,Google Chrome,"elephant, giraffe, spider monkey, bat, cat, rat, cow, wolf, sheep, lion, lamb, dog, cat, shark, dolphin, whale, human, jackal, tiger, leopard, ferret, goose, duck, monkey, chima",30,Male,"Yes, I spoke English and these other languages growing up:",treatment,NA,NA,16.369,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.",42.358,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,6,I never play word-finding games,mouse,Google Chrome,30,"Zebra, Giraffe, Lion, Tiger, Monkey, Sheep, Deer, Bear, Bird, Eagle, Leopard, Fox, Wolf, Ox, Cow,",26,27,Male,"Yes, I only spoke English growing up",NA,None!,Peoples ability to think under pressure.,Very fun experiment! I enjoyed the challenge.,eise|lnpk|mpeh|demi|woln|nwsr,1,3,12,9,11,11,15,eise_s,lnpk_s,mpeh_s,demi_s,woln_s,nwsr_s,3,9,11,12,15,11,10.16666667,16.16666667,4.020779361,11,44,15
ad46,17,R_3fT3a9Pb1D5Ocwi,878,21.254,19.331,6,27.137,4,9,10,10,12,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,A few times a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,5,32,I was as experienced as most people,I was more skilled than most people,5,6,mouse,Mozilla Firefox,"cat, cow, dog, bird, camel, horse, pig, chicken, vole, squirrel, ",61,Male,"Yes, I only spoke English growing up",treatment,NA,NA,16.311,"I would suggest looking for ""s"" in the grid so you can make plurals of the same words. Also If you see letters such as ""eed"" together, you can look for letter to make word with it, like seed, weed, reed, feed. These are a couple quick tips to get more words",101.254,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,15,A few times a month,mouse,Google Chrome,60,"tiger, dog, cat, lion, bear, cheetah, zebra, horse, ape, panda, polar bear, giraffe, alligator, crocodile, monkey, pi",10,43,Female,"Yes, I only spoke English growing up",NA,"No, it went quite smoothly",how creative people are with making words,NA,eise|demi|lnpk|mpeh|woln|nwsr,1,16,12,15,19,20,19,eise_s,demi_s,lnpk_s,mpeh_s,woln_s,nwsr_s,16,12,15,19,19,20,16.83333333,9.366666667,3.060501048,17.5,52,17
ad06,18,R_1nQ1cLev0CJkYb7,1022,53.356,31.784,3,25,8,7,12,9,7,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,I never play word-finding games,They were about as skilled as most people,They were more skilled than me,NA,NA,6,56,I was as experienced as most people,I was as skilled as most people,2,10,mouse,Google Chrome,"rat,bat,panda,horse,cat,dog,fish,shark,ant,lama,donkey,catfish,muskie,reindeer,moose,hedgehog",30,Male,"Yes, I only spoke English growing up",treatment,NA,NA,19.544,"try to find a constanant  with a vowel, and work from that.",63.99,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,NA,I never play word-finding games,mouse,Google Chrome,10,dog cat elephant giraffee mouse rat rabbit hamster fish dolphin whale bird muskrat deer bear wolf turkey pheasant squirrel bat ,16,58,Female,"Yes, I only spoke English growing up",NA,no,not sure,no,eise|woln|nwsr|mpeh|demi|lnpk,1,4,4,4,5,8,5,eise_s,woln_s,nwsr_s,mpeh_s,demi_s,lnpk_s,4,5,8,5,4,4,5,2.4,1.549193338,4.5,12,20
ad34,19,R_242xcqdP9y0u0Gf,1095,26.133,50.42,4,65.256,6,5,3,3,2,"No, I've never played any version of this game before",NA,NA,Less than once a year,They were about as skilled as most people,They were more skilled than me,NA,NA,7,85,I was less experienced than most people,I was less skilled than most people,3,6,mouse,Google Chrome,"Cat, Dog, Monkey, Dolphin, Shark, Eagle, Tiger, Lion, Elephant,",27,Male,"Yes, I only spoke English growing up",treatment,NA,NA,38.454,"Word length doesn't matter. A three-letter word will give one point, just like a six-letter word. Go for the simpler words. That way you can get more short words in a minute than wasting time looking for longer words.",110.698,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,mouse,Google Chrome,80,"ant, anteater, zebra, giraffe, cat, dog, lion, antelope, lizard, cheetah / tiger / deer / moo / ",9,28,Female,"Yes, I only spoke English growing up",NA,"Highlighting words diagonally occasionally messed up. I'd be highlighting a word and move to highlight a letter diagonally and instead the letter to the side or vertical would get selected. Or it it would only submit part of my word so one word was submitted with it twice, the beginning of the word and the last word. I wasted a lot of time trying to correct it because I'd already be onto the next word before I realized it, and that would have the last part of the previous word selected too.",Maybe to see if a person could get better at recognizing word patterns if they played several games in a row. I think I was starting to get a little better at the game by the time I was done.,NA,demi|lnpk|nwsr|woln|mpeh|eise,1,10,10,8,12,15,13,demi_s,lnpk_s,nwsr_s,woln_s,mpeh_s,eise_s,10,8,15,13,12,10,11.33333333,6.266666667,2.503331114,11,39,13
ad78,20,R_3nr9UkLL3HTGPPF,980,22.465,59.568,1,17.842,1,4,2,5,3,"No, I've never played any version of this game before",NA,NA,Less than once a year,They were about as skilled as most people,They were about as skilled as me,NA,NA,4,12,I was as experienced as most people,I was as skilled as most people,NA,NA,mouse,Mozilla Firefox,"dog, cat, horse, cow, squirrel, raccoon, giraffe, bird, moose, deer, elk, bear, tiger, lion, opossum, ferret, ",59,Male,"Yes, I only spoke English growing up",treatment,NA,NA,17.033,"- You CAN make the same word twice, just not with the same letters. If you have two of the letter ""s"" next to each other and can connect them to the same word twice, do it. /  / - Don't worry about longer words until later in the game, focus on short quic",88.535,"Yes, I've played some version of this game before",Within the last year,Within the last 3 years,I was as experienced as most people,I was as skilled as most people,20,A few times a month,mouse,Google Chrome,80,"giraffe, dog, cat, lion, tiger, hippo, elephant, bird, fish, whale, shark, seagull, miley cyrus, hyena, gorilla",16,19,Male,"Yes, I only spoke English growing up",NA,NA,Finding people's reaction times.,NA,mpeh|demi|lnpk|woln|eise|nwsr,1,15,23,20,13,15,20,mpeh_s,demi_s,lnpk_s,woln_s,eise_s,nwsr_s,13,23,20,20,15,15,17.66666667,15.06666667,3.881580434,17.5,73,16
ad27,21,R_6hX6kvgsi5kOAdb,918,32.939,32.683,8,18.992,8,8,10,10,11,"No, I've never played any version of this game before",NA,NA,Less than once a year,They were more skilled than most people,They were more skilled than me,NA,NA,5,19,I was less experienced than most people,I was less skilled than most people,15,20,mouse,Google Chrome,"cag, dog, mouse, moose, tiger, gorilla, bear, zebra, lion, possum, squirrel, rat, elephant, aligator, cheetah, ",47,Male,"Yes, I only spoke English growing up",treatment,NA,NA,17.951,"My advice would be to take your time when highlighting letters to make sure they all turn red and you won't have to go back, ultimately wasting time. ",37.349,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,9,Less than once a year,trackpad,Google Chrome,61,"dog, cat, tiger, mouse, bird, aardvark, platypus, butterfly, whale, turtle, alligator, lion, hyena, bear, snail",15,33,Female,"Yes, I only spoke English growing up",NA,no,not sure,NA,mpeh|lnpk|nwsr|woln|demi|eise,1,10,10,10,12,14,10,mpeh_s,lnpk_s,nwsr_s,woln_s,demi_s,eise_s,12,10,14,10,10,10,11,2.8,1.673320053,10,28,15
