participant,ResponseID,ResponseID,Q_TotalDuration,eise_c,eise_s,ad01,ad02,ad03,ad04,ad05,ad06,ad07,ad08,ad09,ad10,ad11,ad12,ad13,ad14,ad15,ad16,ad17,ad18,ad19,ad20,ad21,ad22,ad23,ad24,ad25,ad26,ad27,ad28,ad29,ad30,ad31,ad32,ad33,ad34,ad35,ad36,ad37,ad38,ad39,ad40,ad41,ad42,ad43,ad44,ad45,ad46,ad47,ad48,ad49,ad50,ad51,ad52,ad53,ad54,ad55,ad56,ad57,ad58,ad59,ad60,ad61,ad62,ad63,ad64,ad65,ad66,ad67,ad68,ad69,ad70,ad71,ad72,ad73,ad74,ad75,ad76,ad77,ad78,catch1,catch2,Q16,prev_exp,prev_last,prev_first,prev_freq,rel_exp,rel_skill,avg_perf_1_TEXT,input,input_TEXT,browser,browser_TEXT,age,gender,catch,catch_TEXT,language,language_TEXT,bugreport,hyp,comments,HITcode,DO-BL-Advice,exclude,exclude_why,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26
81,R_1PcPw7zSubPNgzo,R_1PcPw7zSubPNgzo,563,a1IaKOOjui,6,5,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,NA,5,NA,NA,NA,NA,NA,5,5,6,NA,6,5,6,NA,NA,4,7,NA,4,NA,7,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,NA,NA,6,6,7,NA,NA,NA,NA,NA,NA,5,NA,NA,4,6,6,4,4,1,"No, I've never played any version of this game before",NA,NA,Less than once a year,As experienced,I was as skilled as most people,10,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Internet Explorer,NA,29,Male,Other,trout,"Yes, I only spoke English growing up",NA,I did not,Not exactly sure,NA,1,ad58|ad77|ad41|ad65|ad64|ad07|ad73|ad76|ad01|ad61|catch1|ad28|ad48|ad37|ad45|ad04|ad50|ad38|ad42|ad46|ad66|catch2|ad40|ad26|ad30|ad36|ad78|ad17,NA,NA,ad58,ad77,ad41,ad65,ad64,ad07,ad73,ad76,ad01,ad61,ad28,ad48,ad37,ad45,ad04,ad50,ad38,ad42,ad46,ad66,ad40,ad26,ad30,ad36,ad78,ad17,7,6,5,6,6,6,5,4,5,6,3,4,5,4,5,7,6,6,7,7,6,6,5,5,6,6
263,R_1pmmq93PFRlyrr2,R_1pmmq93PFRlyrr2,1821,czrzZaCDV,9,5,6,6,NA,NA,3,NA,NA,5,5,NA,NA,5,NA,NA,NA,5,5,5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,6,NA,NA,NA,4,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,5,5,NA,NA,7,NA,5,NA,NA,3,NA,NA,NA,NA,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,A few times a year,As experienced,I was as skilled as most people,10,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,23,Female,Other,trout,"Yes, I only spoke English growing up",NA,no,unsure,no,1,ad65|ad06|ad70|ad22|ad02|ad64|ad60|ad31|ad35|ad19|catch1|ad09|ad23|ad73|ad57|ad10|ad36|ad18|ad20|ad13|ad68|catch2|ad45|ad17|ad41|ad03|ad01|ad40,NA,NA,ad65,ad06,ad70,ad22,ad02,ad64,ad60,ad31,ad35,ad19,ad09,ad23,ad73,ad57,ad10,ad36,ad18,ad20,ad13,ad68,ad45,ad17,ad41,ad03,ad01,ad40,5,3,5,5,6,5,5,3,5,5,5,5,3,5,5,6,5,5,5,7,3,5,5,6,5,4
308,R_1pZ0c4fVmoPnF5D,R_1pZ0c4fVmoPnF5D,821,VbKD9XhLyW,8,5,NA,NA,NA,NA,NA,NA,NA,3,6,6,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,7,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,5,NA,6,6,NA,6,5,2,2,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,4,4,1,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,A few times a year,As experienced,I was as skilled as most people,15,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,20,Female,Other,trout,"Yes, I only spoke English growing up",NA,NA,Not sure,NA,1,ad10|ad61|ad35|ad59|ad49|ad39|ad31|ad09|ad57|ad55|catch1|ad20|ad52|ad54|ad37|ad77|ad45|ad60|ad58|ad11|ad19|catch2|ad76|ad01|ad64|ad34|ad42|ad47,NA,NA,ad10,ad61,ad35,ad59,ad49,ad39,ad31,ad09,ad57,ad55,ad20,ad52,ad54,ad37,ad77,ad45,ad60,ad58,ad11,ad19,ad76,ad01,ad64,ad34,ad42,ad47,6,5,7,2,4,5,7,3,6,6,4,5,6,2,5,0,2,5,6,6,4,5,6,6,0,5
21,R_1pzALv2tTiOVLHZ,R_1pzALv2tTiOVLHZ,501,dqpqpWET5b,0,6,5,NA,NA,NA,5,6,NA,5,NA,NA,6,NA,NA,1,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,5,3,5,NA,NA,5,NA,NA,4,NA,NA,NA,5,4,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,4,5,NA,3,NA,4,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,4,4,1,"No, I've never played any version of this game before",NA,NA,A few times a month,Less experienced,I was less skilled than most people,4,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,50,Female,Other,trout,"Yes, I only spoke English growing up",NA,No,Unsure,NA,1,ad09|ad07|ad63|ad28|ad34|ad47|ad71|ad39|ad06|ad69|catch1|ad46|ad12|ad55|ad60|ad02|ad01|ad15|ad42|ad32|ad36|catch2|ad22|ad65|ad35|ad53|ad19|ad61,NA,NA,ad09,ad07,ad63,ad28,ad34,ad47,ad71,ad39,ad06,ad69,ad46,ad12,ad55,ad60,ad02,ad01,ad15,ad42,ad32,ad36,ad22,ad65,ad35,ad53,ad19,ad61,5,6,3,4,5,4,5,5,5,2,5,6,4,4,5,6,1,4,5,5,4,4,3,5,5,5
34,R_1q57u0G2G2qig5C,R_1q57u0G2G2qig5C,749,GVTHg0QmoO,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,5,4,NA,NA,5,NA,NA,NA,NA,6,5,NA,5,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,3,5,6,4,NA,NA,NA,NA,6,6,5,5,NA,NA,NA,NA,6,NA,6,NA,6,NA,NA,6,6,NA,NA,NA,NA,4,NA,NA,5,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,As experienced,I was as skilled as most people,4,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,41,Male,Other,trout ,"Yes, I only spoke English growing up",NA,no,I'm not sure ,none,1,ad55|ad45|ad36|ad61|ad47|ad74|ad08|ad63|ad68|ad13|catch1|ad44|ad16|ad77|ad65|ad54|ad48|ad19|ad56|ad15|ad32|catch2|ad25|ad24|ad27|ad53|ad46|ad69,NA,NA,ad55,ad45,ad36,ad61,ad47,ad74,ad08,ad63,ad68,ad13,ad44,ad16,ad77,ad65,ad54,ad48,ad19,ad56,ad15,ad32,ad25,ad24,ad27,ad53,ad46,ad69,5,3,5,6,6,4,5,6,6,4,5,4,5,6,6,4,5,5,5,5,5,6,5,6,5,6
300,R_1QareSWKZru256M,R_1QareSWKZru256M,721,Pc10M0R785,6,5,NA,NA,NA,NA,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,5,NA,NA,4,7,NA,NA,NA,NA,NA,3,2,NA,NA,6,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3,5,NA,NA,7,NA,7,7,4,NA,NA,NA,7,NA,NA,6,7,NA,7,5,4,4,1,"Yes, I've played some version of this game before",Within the last year,Within the last 3 years,Less than once a year,As experienced,I was as skilled as most people,5,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,25,Female,Other,trout,"Yes, I only spoke English growing up",NA,Game board is glitchy when using a track pad,Average number of words a person can find in a short amount of time,NA,1,ad77|ad66|ad74|ad67|ad60|ad71|ad01|ad27|ad11|ad21|catch1|ad78|ad75|ad47|ad39|ad43|ad59|ad17|ad65|ad20|ad55|catch2|ad31|ad32|ad09|ad63|ad28|ad46,NA,NA,ad77,ad66,ad74,ad67,ad60,ad71,ad01,ad27,ad11,ad21,ad78,ad75,ad47,ad39,ad43,ad59,ad17,ad65,ad20,ad55,ad31,ad32,ad09,ad63,ad28,ad46,7,7,6,4,5,7,5,3,3,7,5,7,7,3,7,3,5,7,4,7,6,4,7,7,2,7
46,R_1r0vCQUNJSv8FZk,R_1r0vCQUNJSv8FZk,542,zxLvKdg2Mt,8,NA,4,5,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,5,NA,5,NA,NA,NA,4,5,NA,5,NA,NA,5,NA,NA,NA,4,5,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,4,4,5,NA,NA,5,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,4,4,4,4,1,"No, I've never played any version of this game before",NA,NA,Less than once a year,Less experienced,I was less skilled than most people,10,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Internet Explorer,NA,40,Male,Other,trout,"Yes, I only spoke English growing up",NA,None,What types of advice people perceive would be helpful for a game,NA,1,ad17|ad29|ad40|ad48|ad04|ad46|ad50|ad19|ad24|ad60|catch1|ad78|ad33|ad15|ad03|ad02|ad08|ad34|ad26|ad70|ad36|catch2|ad53|ad55|ad77|ad23|ad49|ad74,NA,NA,ad17,ad29,ad40,ad48,ad04,ad46,ad50,ad19,ad24,ad60,ad78,ad33,ad15,ad03,ad02,ad08,ad34,ad26,ad70,ad36,ad53,ad55,ad77,ad23,ad49,ad74,5,5,4,4,4,5,5,5,5,3,4,4,3,5,4,5,5,5,4,5,5,5,4,4,4,3
218,R_21HsFTlsu2Fy6fw,R_21HsFTlsu2Fy6fw,497,pQNwm02lG,3,NA,5,6,NA,5,NA,6,NA,5,6,NA,NA,6,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,7,5,NA,5,6,NA,NA,NA,5,5,NA,NA,2,6,NA,NA,NA,NA,5,NA,6,NA,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,6,NA,5,NA,4,4,1,"No, I've never played any version of this game before",NA,NA,Less than once a year,As experienced,I was as skilled as most people,5,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Safari,NA,34,Female,Other,trout,"Yes, I only spoke English growing up",NA,nope,mind games,no,1,ad36|ad55|ad05|ad70|ad33|ad51|ad41|ad46|ad71|ad75|catch1|ad07|ad02|ad16|ad29|ad42|ad34|ad45|ad57|ad13|ad10|catch2|ad37|ad09|ad21|ad53|ad03|ad77,NA,NA,ad36,ad55,ad05,ad70,ad33,ad51,ad41,ad46,ad71,ad75,ad07,ad02,ad16,ad29,ad42,ad34,ad45,ad57,ad13,ad10,ad37,ad09,ad21,ad53,ad03,ad77,5,7,5,7,7,5,5,6,6,6,6,5,4,5,5,5,2,6,6,6,6,5,5,6,6,5
297,R_21nPCx5JgrayRlN,R_21nPCx5JgrayRlN,1125,xeqREYdQCn,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,7,NA,6,NA,NA,6,NA,6,6,NA,4,1,NA,NA,NA,6,NA,NA,3,NA,NA,6,7,NA,6,NA,7,6,NA,NA,NA,NA,7,6,NA,NA,NA,5,6,NA,NA,NA,7,7,6,NA,6,NA,NA,7,NA,4,4,4,1,"No, I've never played any version of this game before",NA,NA,Less than once a year,Less experienced,I was less skilled than most people,7,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,43,Male,Other,trout,"Yes, I only spoke English growing up",NA,no,how many words I could find,great study,1,ad32|ad23|ad29|ad71|ad49|ad60|ad27|ad76|ad53|ad78|catch1|ad34|ad73|ad70|ad59|ad37|ad48|ad42|ad69|ad64|ad54|catch2|ad35|ad51|ad65|ad45|ad18|ad38,NA,NA,ad32,ad23,ad29,ad71,ad49,ad60,ad27,ad76,ad53,ad78,ad34,ad73,ad70,ad59,ad37,ad48,ad42,ad69,ad64,ad54,ad35,ad51,ad65,ad45,ad18,ad38,6,5,6,6,7,6,7,7,7,4,6,6,7,7,4,6,6,7,5,6,6,6,6,3,5,1
145,R_21yS3VeA7cVxY5M,R_21yS3VeA7cVxY5M,754,lOBumUrBsc,0,NA,NA,NA,NA,NA,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,4,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,6,NA,NA,NA,5,5,5,NA,NA,NA,5,5,NA,NA,5,NA,NA,5,7,5,NA,5,4,NA,NA,NA,NA,5,4,4,1,"No, I've never played any version of this game before",NA,NA,I never play word-finding games,Less experienced,I was less skilled than most people,4,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,38,Female,Other,trout,"Yes, I only spoke English growing up",NA,I just could not get it to work!,Finding words,"I went ahead and answered the questions, i felt I could still answer them even though I had trouble with the game.",1,ad45|ad39|ad78|ad61|ad47|ad51|ad22|ad33|ad69|ad62|catch1|ad32|ad09|ad57|ad20|ad65|ad72|ad68|ad55|ad06|ad19|catch2|ad73|ad37|ad56|ad70|ad17|ad08,NA,NA,ad45,ad39,ad78,ad61,ad47,ad51,ad22,ad33,ad69,ad62,ad32,ad09,ad57,ad20,ad65,ad72,ad68,ad55,ad06,ad19,ad73,ad37,ad56,ad70,ad17,ad08,4,5,5,5,6,6,6,5,7,5,6,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5
314,R_231dPNKWApWfZI6,R_231dPNKWApWfZI6,1095,hGKkTQqFrv,6,NA,6,NA,NA,NA,5,NA,7,5,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,7,NA,5,5,5,5,5,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,5,NA,6,NA,NA,6,7,NA,5,NA,5,NA,NA,5,5,NA,NA,NA,NA,4,4,1,"No, I've never played any version of this game before",NA,NA,A few times a year,As experienced,I was less skilled than most people,10,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,21,Male,Other,trout,"Yes, I only spoke English growing up",NA,"I did encounter 1 error after playing the game and reading the advice comments. When I clicked the next button it would not advance and I received an error code. After a couple minutes, the page refreshed on its own and I was able to complete the rest of the survey. ",I think the study was about how easily and quickly an individuals brain can find as many words possible when they are scrambled together. ,NA,1,ad08|ad25|ad68|ad46|ad11|ad66|ad47|ad62|ad16|ad37|catch1|ad26|ad40|ad52|ad60|ad56|ad34|ad06|ad65|ad74|ad09|catch2|ad36|ad73|ad38|ad70|ad02|ad39,NA,NA,ad08,ad25,ad68,ad46,ad11,ad66,ad47,ad62,ad16,ad37,ad26,ad40,ad52,ad60,ad56,ad34,ad06,ad65,ad74,ad09,ad36,ad73,ad38,ad70,ad02,ad39,7,6,5,7,3,7,7,6,2,5,5,5,6,5,5,7,5,6,5,5,5,5,5,5,6,5
312,R_23erUnjGuh50uGJ,R_23erUnjGuh50uGJ,1082,BGMXQBKMDR,3,NA,NA,NA,5,4,4,NA,6,NA,NA,NA,NA,5,NA,5,NA,NA,6,NA,5,NA,6,5,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,7,5,NA,NA,NA,NA,NA,6,NA,7,5,NA,NA,5,NA,NA,NA,NA,NA,NA,6,5,7,NA,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,"No, I've never played any version of this game before",NA,NA,A few times a year,Less experienced,I was less skilled than most people,10,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Mozilla Firefox,NA,56,Female,Other,trout,"Yes, I only spoke English growing up",NA,No problems.  It was fun!  Wish I would have performed better.,What hints help the most amount of people.,I hope you put up more surveys similar to this one!!,1,ad42|ad04|ad41|ad30|ad22|ad65|ad15|ad53|ad69|ad64|catch1|ad50|ad44|ad67|ad56|ad43|ad63|ad13|ad08|ad23|ad05|catch2|ad18|ad27|ad52|ad06|ad40|ad20,NA,NA,ad42,ad04,ad41,ad30,ad22,ad65,ad15,ad53,ad69,ad64,ad50,ad44,ad67,ad56,ad43,ad63,ad13,ad08,ad23,ad05,ad18,ad27,ad52,ad06,ad40,ad20,7,5,4,5,6,7,5,5,5,5,6,5,7,5,7,6,5,6,5,4,6,4,7,4,5,5
217,R_23X2cpWNk1UXxb0,R_23X2cpWNk1UXxb0,547,Gm0r1IYTV1,7,5,5,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,5,NA,NA,4,5,NA,NA,NA,NA,5,NA,4,NA,3,5,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,4,NA,NA,5,5,NA,3,2,NA,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,NA,4,4,1,"No, I've never played any version of this game before",NA,NA,A few times a month,As experienced,I was less skilled than most people,12,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,20,Male,Other,trout,"Yes, I spoke English and these other languages growing up:",Farsi,NA,Memorization & cognition ability,NA,1,ad16|ad39|ad50|ad25|ad52|ad27|ad04|ad59|ad20|ad58|catch1|ad29|ad77|ad61|ad76|ad30|ad02|ad01|ad14|ad09|ad75|catch2|ad19|ad46|ad56|ad33|ad55|ad66,NA,NA,ad16,ad39,ad50,ad25,ad52,ad27,ad04,ad59,ad20,ad58,ad29,ad77,ad61,ad76,ad30,ad02,ad01,ad14,ad09,ad75,ad19,ad46,ad56,ad33,ad55,ad66,5,2,5,5,4,4,4,2,5,3,3,5,3,4,5,5,5,5,6,4,4,5,5,5,5,6
103,R_247PaqKXoflsyR2,R_247PaqKXoflsyR2,724,alrWrdbBQy,11,NA,5,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,6,4,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,5,NA,6,NA,5,NA,NA,5,5,NA,NA,NA,4,5,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,4,6,NA,5,6,6,NA,NA,5,NA,NA,5,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,As experienced,I was as skilled as most people,8,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,29,Female,Other,trout,"Yes, I only spoke English growing up",NA,no,not sure,NA,1,ad53|ad62|ad03|ad33|ad35|ad18|ad20|ad45|ad67|ad46|catch1|ad75|ad02|ad70|ad78|ad11|ad60|ad71|ad68|ad37|ad32|catch2|ad40|ad47|ad28|ad72|ad41|ad19,NA,NA,ad53,ad62,ad03,ad33,ad35,ad18,ad20,ad45,ad67,ad46,ad75,ad02,ad70,ad78,ad11,ad60,ad71,ad68,ad37,ad32,ad40,ad47,ad28,ad72,ad41,ad19,6,5,6,5,6,6,4,4,4,5,5,5,5,5,5,4,6,6,5,4,5,6,6,6,5,4
121,R_24drWGCux85tpx3,R_24drWGCux85tpx3,643,taj4f6NimU,2,5,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,5,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,4,4,NA,NA,3,5,NA,NA,NA,5,4,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,A few times a year,Less experienced,I was as skilled as most people,6,"With a computer mouse<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_b2S1XUhyOM6jiQd"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,36,Male,Other,trout,"Yes, I only spoke English growing up",NA,None at all,Puzzles,Nothing. ,1,ad32|ad61|ad73|ad35|ad59|ad01|ad77|ad03|ad65|ad18|catch1|ad62|ad47|ad44|ad38|ad21|ad39|ad11|ad75|ad13|ad63|catch2|ad34|ad24|ad64|ad50|ad43|ad46,NA,NA,ad32,ad61,ad73,ad35,ad59,ad01,ad77,ad03,ad65,ad18,ad62,ad47,ad44,ad38,ad21,ad39,ad11,ad75,ad13,ad63,ad34,ad24,ad64,ad50,ad43,ad46,5,5,4,4,4,5,4,3,2,5,4,4,4,3,3,5,4,4,5,4,4,4,5,5,5,4
49,R_24I4wpCtmcAUmzy,R_24I4wpCtmcAUmzy,983,1YxabvbFe4,2,NA,NA,7,4,1,NA,NA,6,7,NA,NA,NA,6,NA,3,5,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,3,6,5,7,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,6,NA,4,NA,NA,1,NA,NA,3,NA,5,4,NA,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I never play word-finding games,Less experienced,I was less skilled than most people,4,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,29,Male,Other,trout,"Yes, I only spoke English growing up",NA,"No errors, glitches, or any other problems.  Thanks!",Testing how naturally efficient people are at wordplay games,Thanks again!  This was fun.  ,1,ad48|ad58|ad59|ad13|ad08|ad37|ad50|ad76|ad09|ad73|catch1|ad67|ad05|ad51|ad49|ad21|ad20|ad04|ad75|ad43|ad65|catch2|ad32|ad70|ad03|ad52|ad15|ad16,NA,NA,ad48,ad58,ad59,ad13,ad08,ad37,ad50,ad76,ad09,ad73,ad67,ad05,ad51,ad49,ad21,ad20,ad04,ad75,ad43,ad65,ad32,ad70,ad03,ad52,ad15,ad16,6,4,6,6,6,3,6,4,7,3,4,1,5,3,6,5,4,5,6,6,1,1,7,7,3,5
273,R_24uvMxbVNUDv2Ad,R_24uvMxbVNUDv2Ad,636,ZKBDm43uPV,3,NA,NA,5,NA,7,5,NA,6,NA,5,NA,NA,NA,6,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,7,5,5,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,5,3,7,NA,NA,NA,5,NA,NA,NA,NA,5,5,NA,NA,5,NA,5,NA,NA,NA,5,NA,NA,NA,4,NA,NA,4,4,1,"Yes, I've played some version of this game before",Over a year ago,Within the last 3 years,Less than once a year,As experienced,I was less skilled than most people,4,"With a trackpad<br /> / <img src=""https://harvard.qualtrics.com/CP/Graphic.php?IM=IM_56WYyxpIN9rhHhz"" style=""width: 150px; height: 150px;"" /> / <hr />",NA,Google Chrome,NA,31,Male,Other,trout,"Yes, I only spoke English growing up",NA,It all worked properly. Windows 7-64bit running Chrome ,Fun task,Have a good day.,1,ad48|ad34|ad14|ad52|ad62|ad10|ad06|ad19|ad76|ad27|catch1|ad08|ad45|ad53|ad05|ad18|ad36|ad35|ad39|ad68|ad03|catch2|ad57|ad66|ad72|ad51|ad63|ad28,NA,NA,ad48,ad34,ad14,ad52,ad62,ad10,ad06,ad19,ad76,ad27,ad08,ad45,ad53,ad05,ad18,ad36,ad35,ad39,ad68,ad03,ad57,ad66,ad72,ad51,ad63,ad28,5,7,6,3,5,5,5,7,4,5,6,4,7,7,5,5,5,4,5,5,5,5,5,5,5,5
