condition,advisor,participant,Answer.surveycode,Finished,Q_TotalDuration,iud_c,advc_i_t_3,adv_t_3,hjt_c,ypl_c,sqt_c,jfm_c,lnc_c,Prev.Games_1,Prev.Games_2,Prev.Games_3,Prev.Games_3_TEXT,Prev.Games_4,Play.Rate,PlayHistor,adv_skl,adv_comp,adv_help_hyp,adv_eff_hyp,adv_help,adv_eff_1,Subjec.Exp,SubjSkill,avg_perf_1_TEXT,adv_perf_1_TEXT,input,input_TEXT,browser,age,gender,randomized_order,Exclude,Exclude_why,baseline,advisor_pid,advisor_start.date,advisor_ResponseID,advisor_duration,advisor_browser_meta,advisor_consent_t_3,advisor_Intro_t_3,advisor_Line_t_3,advisor_Line2_c,advisor_Practice_c,advisor_itz_c,advisor_iud_c,advisor_hjt_c,advisor_ypl_c,advisor_sqt_c,advisor_yto_c,advisor_jfm_c,advisor_kte_c,advisor_bga_c,advisor_lnc_c,advisor_board_mean,advisor_board_median,advisor_adv_inst_t_3,advisor_advice,advisor_advice_t_3,advisor_subexp,advisor_subskill,advisor_input,advisor_browser_report,advisor_avg_perf,advisor_adv_eff_1,advisor_age,advisor_gender,advisor_vision,advisor_language,advisor_language2,StudyGuess.y,Comments.y,advisor_board_order,advisor_b1,advisor_b2,advisor_b3,advisor_b4,advisor_b5,advisor_b6,advisor_b7,advisor_b8,advisor_b9,advisor_b10,advisor_s1,advisor_s2,advisor_s3,advisor_s4,advisor_s5,advisor_s6,advisor_s7,advisor_s8,advisor_s9,advisor_s10,baseline
treatment,ap66,190,R_1gGunkMrU4GClTJ,1,348,13.233,16.316,15.925,12.598,15.348,13.2,12.926,14.75,1,NA,NA,NA,NA,1,4,2,1,,,4,0,3,3,30,25,mouse,NA,Google Chrome,31,Female,adv_header|ap66|adv_t|Q151,NA,NA,13.233,51,42289.78403,R_3dEuSLUQaNLKgTr,1907,Firefox,7.696,29.628,11.083,13.38,62.498,57.012,44.616,80.096,108.408,62.4,53.704,111.063,80.244,50.927,48.26,69.673,59.706,27.426,"My advice for doing well in the Colorlink game is to first complete the simple color patterns first. If you correctly fill-in the easier patterns, this will make the harder color paths easier to figure out. ",304.912,1,1,mouse,Mozilla Firefox,70,76,32,Male,1,1,NA,Testing people abilities for problem solving using the colorlink game as a test.,This was a fun study.,kte|jfm|bga|lnc|yto|itz|iud|hjt|ypl|sqt,kte_c,jfm_c,bga_c,lnc_c,yto_c,itz_c,iud_c,hjt_c,ypl_c,sqt_c,80.244,111.063,50.927,48.26,53.704,57.012,44.616,80.096,108.408,62.4,13.233
treatment,ap12,724,R_1gRB4W3OVLNfLAW,1,381,13.754,19.993,30.655,15.508,19.626,11.835,11.103,17.157,1,NA,NA,NA,NA,4,3,2,1,,,3,0,3,3,25,20,mouse,NA,Google Chrome,24,Female,adv_header|ap12|adv_t|Q151,NA,NA,13.754,100,42289.83889,R_cSZiMiYefM9vpn3,766,Chrome,45.05,18.583,7.345,3.752,15.009,27.895,37.05,35.639,21.448,66.934,19.313,22.215,20.154,46.59,25.81,32.3048,26.8525,18.646,The main thing to focus on first are the dots that are the closest together.  Those have the least possible pathways.  Also try to do the ones first that you realize can't have very many possible paths.,43.234,1,1,mouse,Google Chrome,15,60,37,Female,1,1,NA,I'm not sure.,NA,ypl|hjt|iud|lnc|jfm|bga|itz|sqt|kte|yto,ypl_c,hjt_c,iud_c,lnc_c,jfm_c,bga_c,itz_c,sqt_c,kte_c,yto_c,21.448,35.639,37.05,25.81,22.215,46.59,27.895,66.934,20.154,19.313,13.754
treatment,ap26,1043,R_31HronRHpVS1qcs,1,543,13.952,24.139,23.168,23.133,18.182,19.618,12.24,20.039,1,NA,NA,NA,NA,3,4,3,2,,,6,51,3,3,25,20,mouse,NA,Google Chrome,23,Female,adv_header|ap26|adv_t|Q151,NA,NA,13.952,29,42289.78403,R_27JYvzmASlvCf0c,881,Chrome,20.116,28.931,9.225,2.692,24.848,34.014,62.138,24.823,24.226,31.484,51.722,27.528,29.874,60.354,27.221,37.3384,30.679,27.757,"Generally try to start with the color that has the two dots that are closest together, knocking those out will clear up how the board will look at the end. Also try to work from outside in, taking care of all the outside squares first so that you don't finish a level with a random square available.",69.642,1,1,trackpad,Google Chrome,45,57,25,Male,1,1,NA,how well people can explain what they use to be successful ,NA,iud|ypl|sqt|lnc|bga|hjt|itz|kte|yto|jfm,iud_c,ypl_c,sqt_c,lnc_c,bga_c,hjt_c,itz_c,kte_c,yto_c,jfm_c,62.138,24.226,31.484,27.221,60.354,24.823,34.014,29.874,51.722,27.528,13.952
treatment,ap68,892,R_u4aRWSKCv3Pv1vP,1,387,14.01,16.294,13.321,15.409,13.146,17.402,13.186,17.82,NA,1,1,"There are puzzles similar to this in the puzzle video game series ""Professor Layton"" that I have completed before.",NA,5,4,3,2,,,6,50,3,3,20,15,mouse,NA,Mozilla Firefox,23,Female,adv_header|ap68|adv_t|Q151,NA,NA,14.01,38,42289.78403,R_3pfD2b2LrgeuD7U,1454,Chrome,5.493,17.105,7.926,11.535,94.625,82.039,38.618,110.936,65.529,146.176,124.166,38.56,37.334,47.869,63.077,75.4304,64.303,22.069,Try to connect dots on the edges first.  Try to connect simple paths next.  Try to leave openings for complicated paths. ,112.951,2,2,trackpad,Google Chrome,90 sec,52,52,Male,1,1,NA,To see what kind of advice people will come up with.,NA,itz|yto|sqt|ypl|hjt|jfm|iud|lnc|kte|bga,itz_c,yto_c,sqt_c,ypl_c,hjt_c,jfm_c,iud_c,lnc_c,kte_c,bga_c,82.039,124.166,146.176,65.529,110.936,38.56,38.618,63.077,37.334,47.869,14.01
control,ap00,2635,R_dbS7Bet1oj9ic8h,1,424,14.335,,,38.406,23.693,17.863,12.663,16.672,1,NA,NA,NA,NA,4,4,,,3,20,,,3,3,30,,touchscreen,NA,Google Chrome,22,Male,,NA,NA,14.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap38,34,R_2rwGCd6XlRcJXf3,1,511,14.375,22.519,12.927,39.561,52.618,25.374,23.621,20.311,1,NA,NA,NA,NA,5,3,2,2,,,4,50,2,2,30,30,mouse,NA,Google Chrome,21,Female,adv_header|ap38|adv_t|Q151,NA,NA,14.375,61,42289.78542,R_1Cr91kZZLNQKxf4,1466,Chrome,90.205,463.947,9.724,10.56,27.199,33.207,100.589,30.11,46.446,45.4,34.492,22.853,30.84,39.94,87.483,47.136,37.216,16.746,"The way to do well is by process of elimination. Look for obvious paths first, and then go from there.",35.658,1,1,mouse,Google Chrome,30,18,28,Female,1,1,NA,Problem solving!,NA,sqt|kte|ypl|itz|hjt|iud|lnc|bga|jfm|yto,sqt_c,kte_c,ypl_c,itz_c,hjt_c,iud_c,lnc_c,bga_c,jfm_c,yto_c,45.4,30.84,46.446,33.207,30.11,100.589,87.483,39.94,22.853,34.492,14.375
control,ap00,2483,R_AL60WIkZAE65Msh,1,381,14.549,,,16.17,13.012,12.306,15.912,11.319,1,NA,1,Flow app,NA,1,4,,,7,81,,,3,3,25,,touchscreen,NA,Google Chrome,22,Male,,NA,NA,14.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,ap00,2336,R_1K9nryUqBaD6taa,1,266,14.694,,,11.955,9.596,8.903,7.637,10.41,NA,NA,1,Flow,NA,4,3,,,2,10,,,3,3,10,,touchscreen,NA,Google Chrome,25,Male,,NA,NA,14.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment,ap63,1214,R_2OJdVRUiRvoPfeW,1,1031,14.841,33.968,19.505,14.633,30.343,12.449,20.208,18.369,1,NA,NA,NA,1,1,4,2,1,,,4,31,3,3,15,13,mouse,NA,Google Chrome,27,Male,adv_header|ap63|adv_t|Q151,NA,NA,14.841,89,42289.80139,R_29bHTUC2CIKSmRv,1634,Chrome,49.375,15.359,5.164,4.662,68.268,37.857,55.035,237.868,148.137,53.889,187.818,50.589,108.823,44.493,39.58,96.4089,54.462,16.272,Experiment at first. Try to see where certain color lines would HAVE to fill in the space in order for all the spaces to be filled.,51.848,1,1,mouse,Google Chrome,200,13,25,Male,1,1,NA,Probably had something to do without our ability to describe our own strategies and methods.,No comments.,iud|kte|hjt|sqt|bga|itz|lnc|ypl|jfm|yto,iud_c,kte_c,hjt_c,sqt_c,bga_c,itz_c,lnc_c,ypl_c,jfm_c,yto_c,55.035,108.823,237.868,53.889,44.493,37.857,39.58,148.137,50.589,187.818,14.841
treatment,ap47,257,R_YWZyhc2BrGLevm1,1,902,15.19,172.234,15.579,44.066,16.397,19.132,17.416,14.346,1,NA,NA,NA,NA,4,4,2,2,,,5,40,3,3,60,60,mouse,NA,Google Chrome,24,Female,adv_header|ap47|adv_t|Q151,NA,NA,15.19,23,42289.78403,R_1Gws3Vo4Nn7xdIa,1125,Firefox,5.869,39.838,14.562,5.519,36.02,36.564,71.75,55.094,39.91,37.406,44.444,42.612,66.507,32.828,39.959,46.7074,41.2855,25.361,"Just find the ones that are obvious first, do those, then move on to the next one that is obvious. Don't over complicate it, it's really simple.",98.517,2,2,mouse,Mozilla Firefox,40,90,32,Male,1,1,NA,Testing my problem solving skills,NA,ypl|iud|itz|hjt|jfm|kte|bga|lnc|sqt|yto,ypl_c,iud_c,itz_c,hjt_c,jfm_c,kte_c,bga_c,lnc_c,sqt_c,yto_c,39.91,71.75,36.564,55.094,42.612,66.507,32.828,39.959,37.406,44.444,15.19
treatment,ap42,114,R_cAUjy6Pk39XIJUt,1,354,15.264,24.607,13.056,12.57,17.9,11.25,12.384,10.306,1,NA,NA,NA,NA,4,4,2,1,,,3,0,3,3,12,20,mouse,NA,Google Chrome,22,Male,adv_header|ap42|adv_t|Q151,NA,NA,15.264,95,42289.81319,R_USZF3j7PkAp6PK1,1208,Chrome,190.63,17.809,9.507,4.375,85.855,29.667,87.353,111.514,44.432,35.316,73.366,37.699,29.702,37.748,37.997,52.4794,37.8725,22.12,Start with the ones that will only have one solution possible.,19.53,1,2,trackpad,Google Chrome,50,55,25,Male,1,1,NA,NA,NA,hjt|bga|kte|lnc|iud|sqt|yto|jfm|ypl|itz,hjt_c,bga_c,kte_c,lnc_c,iud_c,sqt_c,yto_c,jfm_c,ypl_c,itz_c,111.514,37.748,29.702,37.997,87.353,35.316,73.366,37.699,44.432,29.667,15.264
treatment,ap06,1649,R_2YnvP8iBFLC6ot7,1,403,15.289,16.526,13.363,16.002,15.244,14.165,13.735,58.374,1,NA,NA,NA,NA,3,4,2,2,,,1,0,3,3,30,30,mouse,NA,Google Chrome,24,Female,adv_header|ap06|adv_t|Q151,NA,NA,15.289,3,42289.78333,R_33Ei5wCA6EGaW3Q,868,Firefox,2.273,15.341,5.347,3.094,34.993,39.608,15.946,28.025,35.275,26.26,20.94,24.329,16.109,28.641,22.385,25.7518,25.2945,50.855,Complete the colors that are closest to eachother first. / Complete the colors where there is only one way to complete it.,31.377,1,1,mouse,Mozilla Firefox,30,80,36,Male,1,1,NA,How we respond to the game.,NA,bga|ypl|sqt|hjt|lnc|jfm|itz|iud|yto|kte,bga_c,ypl_c,sqt_c,hjt_c,lnc_c,jfm_c,itz_c,iud_c,yto_c,kte_c,28.641,35.275,26.26,28.025,22.385,24.329,39.608,15.946,20.94,16.109,15.289
treatment,ap02,1207,R_2EibNLnJoz2wDHT,1,778,15.327,17.142,19.178,22.2,14.907,11.88,13.106,20.356,1,NA,NA,NA,1,1,3,2,2,,,4,32,2,2,14,15,mouse,NA,Google Chrome,21,Male,adv_header|ap02|adv_t|Q151,NA,NA,15.327,1,42289.78333,R_1C3BDSKrTvEeo6w,774,Chrome,2.186,12.041,13.281,1.811,157.437,25.515,30.897,40.517,50.01,15.082,27.397,16.864,17.447,17.259,15.669,25.6657,21.481,44.143,I would move the balls that are furthest away from each other first. I would also go for the ones near the corner or edges. ,25.409,2,2,mouse,Google Chrome,40,53,24,Male,1,1,NA,People's problem solving skills. Logical problem solving. ,NA,hjt|itz|lnc|kte|yto|sqt|jfm|iud|bga|ypl,hjt_c,itz_c,lnc_c,kte_c,yto_c,sqt_c,jfm_c,iud_c,bga_c,ypl_c,40.517,25.515,15.669,17.447,27.397,15.082,16.864,30.897,17.259,50.01,15.327
treatment,ap48,414,R_1prqzDJ1reXU8Do,1,499,15.61,16.424,13.101,18.514,13.77,15.001,25.051,24.296,1,NA,NA,NA,NA,1,3,1,1,,,3,10,3,3,20,30,mouse,NA,Mozilla Firefox,24,Female,adv_header|ap48|adv_t|Q151,NA,NA,15.61,9,42289.78333,R_3QwRcVO4jbWXtjr,1717,Chrome,5.26,85.492,7.653,9.582,34.02,45.576,28.81,46.583,23.5,28.7,38.916,28.924,83.876,75.611,52.788,45.3284,42.246,24.195,The best advice I can offer is to make the long connections first; that is. try to link the color that takes up the most squares first. Then you can work around with the colors that take up smaller squares.,89.237,1,1,mouse,Google Chrome,30,41,30,Female,1,1,NA,"Not sure, but it was fun.",I enjoyed this game.,jfm|yto|sqt|ypl|hjt|iud|lnc|itz|kte|bga,jfm_c,yto_c,sqt_c,ypl_c,hjt_c,iud_c,lnc_c,itz_c,kte_c,bga_c,28.924,38.916,28.7,23.5,46.583,28.81,52.788,45.576,83.876,75.611,15.61
treatment,ap30,1156,R_2dPXZjjpLx9Fot1,1,376,15.663,16.285,13.413,22.137,18.36,13.021,18.887,13.794,1,NA,NA,NA,NA,3,4,2,1,,,3,9,3,3,25,18,trackpad,NA,Google Chrome,25,Male,adv_header|ap30|adv_t|Q151,NA,NA,15.663,67,42289.7875,R_1QJzgjXdoIK4aQ5,890,Firefox,6.461,34.53,6.772,5.053,55.426,31.527,29.198,32.434,20.789,31.338,71.836,42.318,56.598,20.371,52.33,38.8739,31.9805,27.401,"Just go for it, start connecting colors right away and it will quickly become apparent how to complete the board",77.17,1,1,trackpad,Mozilla Firefox,45,50,39,Male,1,1,NA,I honestly have no idea,none,yto|itz|jfm|hjt|kte|sqt|bga|iud|lnc|ypl,yto_c,itz_c,jfm_c,hjt_c,kte_c,sqt_c,bga_c,iud_c,lnc_c,ypl_c,71.836,31.527,42.318,32.434,56.598,31.338,20.371,29.198,52.33,20.789,15.663
treatment,ap45,1042,R_0q4BX9iS5oC5W3T,1,495,15.942,29.565,17.267,13.471,15.438,14.81,12.16,15.448,1,NA,NA,NA,NA,4,4,3,2,,,6,20,3,3,20,15,mouse,NA,Google Chrome,23,Male,adv_header|ap45|adv_t|Q151,NA,NA,15.942,78,42289.79236,R_1KeQMbcPNj3OPiz,754,Chrome,3.041,23.739,6.644,7.982,22.129,45.992,33.972,41.939,24.279,43.099,64.976,26.164,61.563,26.018,35.815,40.3817,38.877,16.481,"Complete the shortest routes first. Trust your intuition, as it is easy to change your mind if you feel you're wrong.",30.999,1,1,mouse,Google Chrome,40,19,39,Female,1,1,NA,don't know,NA,bga|itz|jfm|hjt|yto|kte|lnc|iud|ypl|sqt,bga_c,itz_c,jfm_c,hjt_c,yto_c,kte_c,lnc_c,iud_c,ypl_c,sqt_c,26.018,45.992,26.164,41.939,64.976,61.563,35.815,33.972,24.279,43.099,15.942
treatment,ap57,941,R_11ZSImMlqdLVS0J,1,753,15.972,16.491,13.538,14.571,15.304,12.534,14.497,14.399,1,1,NA,NA,NA,2,5,3,1,,,4,0,3,3,60,30,trackpad,NA,Google Chrome,42,Male,adv_header|ap57|adv_t|Q151,NA,NA,15.972,52,42289.78403,R_3QY2ZdNReyqM7Qq,1658,Firefox,18.28,40.944,10.741,10.062,93.127,63.479,45.733,130.362,69.087,31.293,69.527,36.567,34.095,52.727,39.807,57.2677,49.23,26.91,"I found it helps to figure out the outer paths first. As you go along the path, try to check the other color dots to be sure that you're not blocking paths for them.",116.878,1,1,mouse,Mozilla Firefox,60,40,50,Female,1,1,NA,I enjoyed it a lot! Fun game! I would like to play some more!,Great HIT. Thanks!,itz|hjt|ypl|kte|jfm|bga|yto|sqt|lnc|iud,itz_c,hjt_c,ypl_c,kte_c,jfm_c,bga_c,yto_c,sqt_c,lnc_c,iud_c,63.479,130.362,69.087,34.095,36.567,52.727,69.527,31.293,39.807,45.733,15.972
treatment,ap43,536,R_32IScedOJWaLFyX,1,1486,16.086,18.483,13.651,126.333,98.012,55.217,47.83,54.669,NA,NA,NA,NA,1,NA,NA,3,2,,,6,51,1,1,45,55,mouse,NA,Google Chrome,37,Female,adv_header|ap43|adv_t|Q151,NA,NA,16.086,40,42289.78403,R_3g1SsPawycgzfmt,1094,Firefox,6.964,82.295,5.529,4.279,27.038,24.055,28.034,37.424,50.387,73.768,266.783,34.18,47.16,39.481,33.705,63.4977,38.4525,16.495,"Focus on the shortest links first, then the longest links. The rest will fall into place",25.16,2,2,trackpad,Mozilla Firefox,30,0,24,Female,1,1,NA,skill at puzzles, ,yto|ypl|lnc|jfm|sqt|hjt|bga|iud|kte|itz,yto_c,ypl_c,lnc_c,jfm_c,sqt_c,hjt_c,bga_c,iud_c,kte_c,itz_c,266.783,50.387,33.705,34.18,73.768,37.424,39.481,28.034,47.16,24.055,16.086
