participant,Progress,Duration..in.seconds.,Finished,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating.System,meta_Resolution,cat_json,eise_json,lnpk_json,mpeh_json,woln_json,demi_json,nwsr_json,prev_exp,prev_last,prev_first,prev_freq,adv_exp,adv_skill,adv_helpf,adv_imp_1,rel_exp,rel_skill,avg_perf_1,adv_perf_1,input,input_7_TEXT,browser,browser_6_TEXT,animals,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,condition,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,eise_c,lnpk_c,mpeh_c,woln_c,demi_c,nwsr_c
11,100,790,TRUE,R_Br1buz6oehpJcIh,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,BEpxtv2n1r, RicnyIoHz3 ,hglFbMhswh  ,ihOa7ePkSH  ,itG9aYRxCf  ,n5pDF1GPF3  ,b5HXwC8Z48  ,"No, I've never played any version of this game before",,,A few times a year,They were more skilled than most people,They were more skilled than me,3,0,I was less experienced than most people,I was less skilled than most people,1,20,"With a computer mouse

",,Google Chrome,,"CAT, RAT, MOUSE, DOG, HORSE, PIG, COW, FISH",56,Female,Other,ORANGE,"Yes, I only spoke English growing up",,,N/A,SPEED AND AGILITY,N/A,badadvice,R_Br1buz6oehpJcIh,790,0,0,1,0,6,0,7,8,6,7
12,100,870,TRUE,R_74J3JQa6jxDSCad,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1800x864,JTY3W8MTf9  ,Xp9fg6h9F  ,6RJiS5BmG8  ,FM6r5utmS0  ,foRDZX08Bg  ,Z9f3aSgrs8  ,Rzf4WHfcpV  ,"No, I've never played any version of this game before",,,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,1,,"With a computer mouse

",,Google Chrome,,"cat,dog,parrot,crow,fish,dog,tiger,lion",28,Male,Other,orange,"Yes, I only spoke English growing up",,,,,,control,R_74J3JQa6jxDSCad,870,1,0,1,1,0,0,0,0,0,0
13,100,857,TRUE,R_3NCiZVtEHhJdwhC,anonymous,EN,Chrome,87.0.4280.141,Linux x86_64,412x846,B5meBMP8dw,o4omZe4u4j,e3fCDTIx7P,Pfi7YJFKUc,tP8X92LPC,aHljpun6am,lbcwx72518,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were more skilled than me,4,41,I was less experienced than most people,I was less skilled than most people,10,20,"With a computer mouse

",,Google Chrome,,"Dog. Cat, hamster, turtle, monkey, panda, bear, lion, tigers , alligators, zebra, chimpanzees, chicken, pig, cow, ",23,Female,Other,orange,"Yes, I only spoke English growing up",,,,To see how many words people could come up with by using advice and if it was their first time or not,,goodadvice,R_3NCiZVtEHhJdwhC,857,1,1,0,1,3,8,5,10,11,9
14,100,596,TRUE,R_We46c5mLyz50VaN,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,Zmhz1eha5P,CCXuvUg9z1,6wXN15EHUS,sQDzoTQOfT,kzOGTtDKEb,PWQZrrxg9,WD8rCPFJaj,"No, I've never played any version of this game before",,,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,15,,"With a computer mouse

",,Google Chrome,,"aardvark, antelope, deer, elephant, mouse, lion, tiger, zebra, giraffe, rhino, flamingo, wolverine, eel, shark, whale, robin, otter, algae, octopus, dog, cat, ",36,Male,Other,orange,"Yes, I only spoke English growing up",,,None at all,I have absolutely no idea,,control,R_We46c5mLyz50VaN,596,1,1,0,0,17,23,20,26,17,23
15,100,712,TRUE,R_1mP0eI3BeU1SFO6,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1366x768,VDwq7NVU5f,Yy9v1kd8F3,NYd5r3f43x,o8jF5YBeco,tlp15owTC2,UwPEqnfnmn,XiFPsY4Hxd,"No, I've never played any version of this game before",,,Less than once a year,They were about as skilled as most people,They were about as skilled as me,2,0,I was as experienced as most people,I was as skilled as most people,15,15,"With a computer mouse

",,Google Chrome,,"tiger, lion, dog, cat, fish, zebra, camel, elephant, jaguar, cougar, panther, goat, sheep, bobcat, bear, horse, pony, pig, boar, deer, rabbit, frog, lizard, parrot, cockatiel, sparrow, oyster, lobster, shrimp",27,Male,Other,orange,"Yes, I only spoke English growing up",,,This was severely underpaid and over 10 minutes even going as fast as I possibly could.,I don't know.,,badadvice,R_1mP0eI3BeU1SFO6,712,1,1,0,0,14,20,20,19,16,17
16,100,979,TRUE,R_2fCYjnFXJ5FP8Dh,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1366x768,UgICTwREJK  ,J3p5D9NMN9  ,qvOs8tfweN  ,YsUQzRhZ9E  ,mbMJu1hTO  ,mINn1IDTj3, kDGp7awVRQ ,"Yes, I've played some version of this game before",Within the last month,Within the last year,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,5,,"With a trackpad

",,Internet Explorer,,"cat , lion ",43,Male,Other,orange,"Yes, I only spoke English growing up",,,no,nice,nice,control,R_2fCYjnFXJ5FP8Dh,979,0,0,0,1,0,0,0,0,0,0
17,100,796,TRUE,R_3M9z1bebEDHws6A,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,X0Tfa8O3Rk,Lp15jc327U,r6oGEDH4Fs,ELZsUh9YrW,CIJ38d3dRr,K2VNy8RKIq,HhxT3fmyF,"No, I've never played any version of this game before",,,Less than once a year,They were about as skilled as most people,They were more skilled than me,6,81,I was less experienced than most people,I was less skilled than most people,15,17,"With a computer mouse

",,Google Chrome,,"horse,dog,cat,moose,deer,mouse,camel,lion,bear,goat,chicken,duck,whale,dolphin,boar,bear,hippo,gator,",58,Female,Other,orange,"Yes, I only spoke English growing up",,,,no idea sorry,,badadvice,R_3M9z1bebEDHws6A,796,1,0,0,0,4,6,7,12,12,9
18,100,1155,TRUE,R_3R1rj2uS5pfE19c,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1280x720,T31hb5W3b,sxlOTebVV,kGlBzyXiB,ouueBQeXRu,I2geDfkzG9,B977djjoSL,9V0WmYJUGv,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,6,13,I was as experienced as most people,I was less skilled than most people,6,4,"With a computer mouse

",,Google Chrome,,"elephant, zebra, monkey, dog, cat, bird, fish, antelope, lion, tiger, bear, giraffe, pig, cow, deer, rabbit, turtle, frog, hyena, gazelle, ",39,Female,Other,orange,"Yes, I only spoke English growing up",,,no,following a strangers advice,none,badadvice,R_3R1rj2uS5pfE19c,1155,0,0,0,1,14,14,11,17,15,17
19,100,673,TRUE,R_1LFgjZ5iakGe0rG,anonymous,EN,Chrome,88.0.4324.153,CrOS x86_64 13597.84.0,1920x1080,cxCVdjKtbH,vuaLHXXhp0,p321o29FIk,3l7opu5b9h,0OxiKXswT5,ZK4MXdbte2,GZdvLjRQig,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,4,,"With a trackpad

",,Google Chrome,,"Elephant, Giraffe, Cobra, Jellyfish, Octopus, Gazelle, Alligator, Hippo, Rhino, Cheetah, Lion, Tiger, Bear, Dog, Cat, Bird, Lizard, Hamster, Mouse, Prarie Dog",28,Male,Other,Orange,"Yes, I only spoke English growing up",,,No problems! ,"How well people can use an interface like the one shown, maybe?",No other comments,control,R_1LFgjZ5iakGe0rG,673,1,0,0,0,4,4,4,7,12,8
20,100,739,TRUE,R_erM9Y9EaR3bHGr7,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.1,1536x864,ISJNk7UtiC,WaGBpceHeE,b5v9EgjEke,XOxiqdidtK,S8ytDLmKnP,U5h8wYqFh1,gaKm3w767t,"No, I've never played any version of this game before",,,Less than once a year,They were about as skilled as most people,They were about as skilled as me,6,60,I was less experienced than most people,I was as skilled as most people,10,15,"With a computer mouse

",,Google Chrome,,bear hippo dog cat fish hamster camel zebra monkey ape chimpanzee lion tiger cheetah lynx giraffe hyena whale deer armadillo possum ,53,Male,Other,orange,"Yes, I only spoke English growing up",,,No,Don't know,,goodadvice,R_erM9Y9EaR3bHGr7,739,1,0,0,0,7,6,5,10,12,12
21,100,758,TRUE,R_3qOI2m9smPZqhxf,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1536x864,LsgWHQ8YhT  ,LQd226p4e5  ,VqVEI8QfHK,XgyINlVtYN  ,UNQtLBZWSd  ,ZMPyiyKmkZ  ,KBUuRMjgi  ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,7,,"With a computer mouse

",,Google Chrome,,"dog, cat elephant, gerbil, mouse, fish, shark, goat, giraffe, seal, monkey, ape, lion, tiger, z",27,Female,Other,orange,"Yes, I only spoke English growing up",,,none at all,To see if I improved over multiple rounds,,control,R_3qOI2m9smPZqhxf,758,1,1,0,0,7,10,13,7,8,12
22,100,1013,TRUE,R_1OK0t5O8iI7l3DX,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,Q7SNw4jGV0  , roSinBoPIL ,S6rSRt74U  ,kq1zhUhNbj  ,X5hLa2NJpb  ,25M6VG5uP,Lkgg76Zj1C  ,"Yes, I've played some version of this game before",Within the last week,Within the last 3 years,A few times a month,,,,NA,I was less experienced than most people,I was as skilled as most people,six,,"With a computer mouse

",,Google Chrome,,"cat,",32,Male,Other,orange,"Yes, I only spoke English growing up",,,no problems,good study,thank you,control,R_1OK0t5O8iI7l3DX,1013,0,0,1,1,0,0,0,0,0,0
23,100,741,TRUE,R_bggU2aw1Ied8L1D,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1536x864,mENSyDYzC0 ,nJDl8QIWLr  ,KuNT4F1tqz  ,8lmj2gr63T  ,UtR6WBncp8  ,75IpJywLZ  ,OG9FpZ89o7  ,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,10,,"With a trackpad

",,Google Chrome,,"fox, cow, dolphin, rat, cat, dog, bull, goose, duck, bird, elephant, hippo, rhino, ",23,Female,Other,orange,"Yes, I only spoke English growing up",,,,how people are at finding words,,control,R_bggU2aw1Ied8L1D,741,0,0,0,0,8,9,8,8,12,13
24,100,627,TRUE,R_3QSlX7vTBhztEzc,anonymous,EN,Chrome,86.0.4240.198,Windows NT 6.3,1366x768,y2WVM8djmj  ,y2WVM8djmj  ,y2WVM8djmj  ,y2WVM8djmj  ,y2WVM8djmj  ,y2WVM8djmj  ,y2WVM8djmj  ,"Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,A few times a month,They were less skilled than most people,They were about as skilled as me,7 - Extremely helpful,100,I was as experienced as most people,I was as skilled as most people,3,3,"With a computer mouse

",,Google Chrome,,"
Punctuation | Basic Reading and Writing - Lumen Learningcourses.lumenlearning.com › outcome-punctuation-4-6
When you learn the rules of punctuation, you equip yourself with an extensive ... You would write the first sentence if Jefferson only has one son and his name is Miles. ... Adjacent items are separated so that the reader can consider each item ... When these conjunctions join two words or phrases, no comma is necessary",57,Female,"Gender, marital status, and education",,"Yes, I only spoke English growing up",,,VERY GOOD,NICE,VERY INTERESED,badadvice,R_3QSlX7vTBhztEzc,627,0,0,1,1,0,0,0,0,0,0
25,100,805,TRUE,R_4VlPoMZgLsfgo5H,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1368x912,1CcgL5odzg,WSwtrZmGXg,9VXQCY4Oiu,L7DzWe1lHn,r0IGWsn1ON,m3Y81ifBI,fUEL8KyYNy,"Yes, I've played some version of this game before",Within the last year,Within the last year,A few times a year,They were about as skilled as most people,They were more skilled than me,4,15,I was less experienced than most people,I was less skilled than most people,15,18,"With a trackpad

",,Google Chrome,,"sparrow, pigeon, eagle, falcon, hawk, salmon, tuna, carp, grouper, cat, dog, rabbit, hamster, gerbil, ferret, tiger, lion, elephant, panther, cheetah, leopard, rhinocerous ",31,Male,Other,orange,"Yes, I only spoke English growing up",,,None,To see if peoples' performance would go up after seeing the advice.,None,goodadvice,R_4VlPoMZgLsfgo5H,805,1,0,0,0,11,10,12,13,14,17
26,100,1339,TRUE,R_2XodonldZJ2FWyY,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1536x864,m8SPyD6Fuu,bx7nGWNPQN,f5KwXoSrOQ,HkmFWCx4f9,lpHKVDxYv4,q5quvk20xR,t2GV6p11ZZ,"No, I've never played any version of this game before",,,A few times a year,They were more skilled than most people,They were more skilled than me,5,18,I was less experienced than most people,I was less skilled than most people,2,6,"With a computer mouse

",,Google Chrome,,"cat, dog, frog, hippo, wolf, zebra, horse, pigeon, falcon, hawk, eagle, elephant, snake, eel, ",28,Male,Other,orange,"Yes, I only spoke English growing up",,,none,word scramble and cognition,no issues all pages loaded,goodadvice,R_2XodonldZJ2FWyY,1339,0,0,0,1,0,2,2,3,4,4
27,100,639,TRUE,R_73eKwW6CNM5Curf,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1920x1080,36ujIqErEO  ,Up74CB95De  ,4jrYaFx4r  ,qqguh4wQzq  ,rLllrEoRNh  ,PCnd0GcFX0  ,Hq9iD8wuiu  ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,A few times a year,,,,NA,I was less experienced than most people,I was less skilled than most people,5,,"With a computer mouse

",,Google Chrome,,"Dog,Cat,Fish,bird,lion,dolphin,rat,mouse,snake,spider,bee,wasp,monkey,gorilla",30,Male,Other,orange,"Yes, I only spoke English growing up",,,No,"Word search, name recall",,control,R_73eKwW6CNM5Curf,639,1,0,0,1,9,3,6,6,10,8
28,100,952,TRUE,R_2t3z42KP6THXBZD,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1366x768,lYJGhgVQp,uU6RJzhujM,fafJp3voSY, KI6sOzXiOu,JIUNrR1Dad,56TaJ19poX,wWKsexm1Uy,"Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,Less than once a year,They were about as skilled as most people,They were more skilled than me,2,4,I was as experienced as most people,I was as skilled as most people,6,6,"With a computer mouse

",,Google Chrome,,"cat, dog,cow,giraffe,seal, whale, manatee,snake,possum, raccoon, coyote,turtle, elephant, llama, donkey, horse, duck, goose, ",61,Female,Other,orange,"Yes, I only spoke English growing up",,,,To study if I would think less of myself after receiving instructions on how to do better.,,goodadvice,R_2t3z42KP6THXBZD,952,0,1,0,1,2,4,7,8,7,8
29,100,919,TRUE,R_2q3khrCEXIQS7ft,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,F198QZ2cD  ,qKxUjLbLUj  ,nDaUtbuS4k  ,Y8s4vRPjXc  ,ONojDRvIJR  ,8F8wTYRsgu  ,5SFhZ8mFK4  ,"No, I've never played any version of this game before",,,A few times a year,,,,NA,I was as experienced as most people,I was as skilled as most people,4,,"With a computer mouse

",,Google Chrome,,"cat,rat,dog",30,Male,Other,orange,"Yes, I only spoke English growing up",,,no,scrammble,,control,R_2q3khrCEXIQS7ft,919,0,0,1,1,3,5,7,7,4,4
30,100,701,TRUE,R_21zlmoO4qnezRYN,anonymous,EN,Chrome,88.0.4324.192,Macintosh,1440x900,19H0vqkss,QQzVORpkJb,llPwlPU5g6,5q7HWWhbxN,4cyDVsjga0,EySLIqxH7U,IYlbZx1a2l,"No, I've never played any version of this game before",,,I never play word-finding games,,,,NA,I was less experienced than most people,I was as skilled as most people,8,,"With a computer mouse

",,Google Chrome,,"cat, dog, zebra, bat, wolf, elephant, giraffe, lion, tiger, bear, mouse, rat, ferret, gerbil, hamster, condor, blue jay, cardinal, koala bear, kangaroo, snake, ",42,Male,Other,orange,"Yes, I only spoke English growing up",,,none,ability to process information,none,control,R_21zlmoO4qnezRYN,701,1,0,1,0,8,16,14,8,18,14
31,100,727,TRUE,R_3QPiPb1NkmhL0ao,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.1,1920x1080,6w2Px90jsr  ,GBputMIuLN  ,csyOF8ltjE  ,fxtjOWwQrd  ,m2YGBQFy0e  ,IQmYKWTemO  ,1c0SM0T4Ya  ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I never play word-finding games,,,,NA,I was as experienced as most people,I was as skilled as most people,6,,"With a computer mouse

",,Google Chrome,,"dog,cat,monkey,elephant,giraffe,wolf,fish,shakr,alligator,rhino,mouse,tiger,lion,",29,Male,Other,orange,"Yes, I only spoke English growing up",,,No,to see on average how many words people recognize. ,n/a,control,R_3QPiPb1NkmhL0ao,727,1,1,0,0,6,5,7,6,9,7
32,100,1018,TRUE,R_1rAFLUyQXcchfud,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1600x900,19DZP9Llht,cVYrGyf6FO,xnIPPaFX6f,IDqWuFBWQ5,dF0PfrwccE,9RWMXdVsTP,Y7aiqFb5eL,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,A few times a year,They were less skilled than most people,They were less skilled than me,3,0,I was as experienced as most people,I was as skilled as most people,9,8,"With a computer mouse

",,Google Chrome,,dog cat bird whale donkey elephant fish reptile amphibian ,67,Male,Other,orange,"Yes, I only spoke English growing up",,,No,How people assess their own abilities compared to others.,,badadvice,R_1rAFLUyQXcchfud,1018,0,0,0,0,7,7,8,11,13,12
33,100,1136,TRUE,R_22E2issaVG9CRCG,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,Ei5ZWNIYXB,0on0Z3w9t,vtwYfcn5p7,IvQt94jKY9,iMeLhKkYxr,KY5DZQmvbK  ,9nH4LoDkV  ,"No, I've never played any version of this game before",,,A few times a year,They were about as skilled as most people,They were less skilled than me,6,70,I was as experienced as most people,I was more skilled than most people,8,9,"With a computer mouse

",,Google Chrome,,"cow, rat, elephent, owel, snack, monkey, dog, cat, ",34,Male,Other,orange,"Yes, I only spoke English growing up",,,no,word scramble game,good,badadvice,R_22E2issaVG9CRCG,1136,0,0,1,1,3,7,9,5,5,2
34,100,941,TRUE,R_1HcJNSn1fkmz54Q,anonymous,EN,Chrome,88.0.4324.104,Windows NT 6.3,1366x768,qrJruicJIZ,3TEQ4xsKBd,0KI2PkuM7,8RGXzdBEtj,roVsO6fRQi,BFoYsHY2v,Kth7a56JKf,"No, I've never played any version of this game before",,,A few times a month,,,,NA,I was more experienced than most people,I was as skilled as most people,7,,"With a trackpad

",,Google Chrome,,"FOX,LION/BEAR,DOG,CAT,",29,Female,Other,orange,"Yes, I only spoke English growing up",,,none,this is about the puzzle,nice study,control,R_1HcJNSn1fkmz54Q,941,0,0,0,0,3,5,5,2,6,4
