Progress,Duration (in seconds),Finished,ResponseId,t_consent_First Click,t_consent_Last Click,t_consent_Page Submit,t_consent_Click Count,t_landing_First Click,t_landing_Last Click,t_landing_Page Submit,t_landing_Click Count,inst1_t_First Click,inst1_t_Last Click,inst1_t_Page Submit,inst1_t_Click Count,inst2_t_First Click,inst2_t_Last Click,inst2_t_Page Submit,inst2_t_Click Count,cat_t_First Click,cat_t_Last Click,cat_t_Page Submit,cat_t_Click Count,cat_c,eise_t_First Click,eise_t_Last Click,eise_t_Page Submit,eise_t_Click Count,eise_c,lnpk_t_First Click,lnpk_t_Last Click,lnpk_t_Page Submit,lnpk_t_Click Count,lnpk_c,mpeh_t_First Click,mpeh_t_Last Click,mpeh_t_Page Submit,mpeh_t_Click Count,mpeh_c,qual_fr,qual_mc,qual_mc_na,qual_percs_1,qual_percs_2,qual_percs_3,qual_percs_4,qual_percs_5,qual_percs_6,qual_percs_7,qual_percs_8,qual_percs_9,qual_percs_10,qual_slide_1,qual_t_First Click,qual_t_Last Click,qual_t_Page Submit,qual_t_Click Count,qual_expl,prev_exp,prev_last,prev_first,prev_freq,rel_skill,rel_exp,input,input_7_TEXT,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,hypothetical_DO
100,395,TRUE,R_3R1RTqyfFrUHqQq,0,0,2.12,0,0,0,1.331,0,14.53,14.53,14.928,1,10.629,28.346,33.666,4,8.206,33.794,36.501,3,eOSyTr2yS2  ,67.188,69.251,69.792,2,jMWBmSrIkc  ,65.014,65.014,67.211,1,sLN12pyH5D  ,67.369,67.369,69.989,1,p2KbRKYZZ7  ,try hard,,,,,,,,,,,,,,1.503,8.95,19.636,2,effort equals sucess,I'm not sure,,,A few times a month,I was less skilled than most people,I was less experienced than most people,"With a computer mouse

",,27,Male,Other,potato,"Yes, I only spoke English growing up",,,,consumer opinions,,R_3R1RTqyfFrUHqQq,395,1,0,1,1,Q167|qual_fr|qual_t
100,397,TRUE,R_3VqtEVAeUhr7N0R,0,0,4.307,0,0,0,2.124,0,0,0,11.277,0,4.178,16.635,18.452,4,23.711,23.711,25.693,1,CBFOdbRJsz  ,72.551,72.551,74.815,1,akpFDbh5Vo  ,66.652,66.652,68.812,1,pGFp2SL5xH  ,66.28,66.28,68.74,1,uJJG67rgQe  ,,,,,,,,,,,,,,50,12.926,15.604,16.493,3,I would want to hear the best and worst cases of the game.,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,29,Male,Other,potato,"Yes, I only spoke English growing up",,,"It was hard to ""slide"" to other letters. ",Mind games.,,R_3VqtEVAeUhr7N0R,397,0,1,0,0,Q167|qual_slide|qual_t
100,398,TRUE,R_3G2r2QmT8q2gKYU,2.445,2.445,3.531,1,0,0,2.65,0,2.116,3.563,10.583,2,2.348,29.117,30.28,11,3.381,29.877,32.075,6,PjDOq4BM8z  ,7.677,72.983,74.896,3,tztXlntgN  ,1.803,67.371,69.822,3,CjLC0vv3Yh  ,2.767,68.736,69.977,5,Ut3iCHU1d  ,,The participant who scored the best in the game,,,,,,,,,,,,,1.84,14.091,17.324,2,I want advice from the best.,"No, I've never played any version of this game before",,,I never play word-finding games,I was less skilled than most people,I was less experienced than most people,"With a trackpad

",,32,Male,Other,potato,"Yes, I only spoke English growing up",,,,dk,,R_3G2r2QmT8q2gKYU,398,0,1,0,0,Q167|qual_mc|qual_t
100,401,TRUE,R_1PdbEkQLwCZVu5j,0,0,4.056,0,0,0,2.061,0,10.029,10.029,10.77,1,12.449,33.189,34.901,4,20.922,20.922,23.14,1,GXboCnX1s4  ,70.866,73.034,74.185,2,kxV1aVVejf  ,68.991,68.991,71.247,1,KcGl041NH  ,68.384,68.384,70.386,1,G0nkcrp8qz  ,,The participant who scored the best in the game,,,,,,,,,,,,,5.411,5.411,16.553,1,I would want the advice of the person who was best at the game,"No, I've never played any version of this game before",,,I never play word-finding games,I was less skilled than most people,I was less experienced than most people,"With a trackpad

",,29,Female,Other,potato,"Yes, I only spoke English growing up",,,,I'm not sure,None,R_1PdbEkQLwCZVu5j,401,0,1,0,0,Q167|qual_mc|qual_t
100,403,TRUE,R_yR60cIlk6bT3HxL,0,0,3.715,0,0,0,1.929,0,0,0,12.864,0,5.949,25.067,27.369,4,30.239,30.239,32.17,1,h2rsWr6mME,72.991,72.991,75.797,1,wO1pJg74nk,68.612,71.151,71.856,2,y3nMSbczZi,66.447,66.447,68.838,1,LBHvLhLB8t,,The participant who scored the best in the game,,,,,,,,,,,,,13.209,17.362,18.697,3,I think this person would have good tips for scoring the most points in the game ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,22,Female,Other,potato,"Yes, I only spoke English growing up",,,,playing games ,no comments ,R_yR60cIlk6bT3HxL,403,1,1,0,1,Q167|qual_mc|qual_t
100,404,TRUE,R_1hzBs0l7n2xEBWx,0,0,2.755,0,0,0,2.347,0,0,0,11.636,0,7.27,21.361,22.791,4,23.34,23.34,25.026,1,9o2PZcQbU,68.493,68.493,70.736,1,VpYyoEW8Yg,66.892,66.892,68.691,1,O65BytVV7C,67.294,67.294,69.158,1,afJD0jDl,,,,,,,,,,,,,,99,18.693,18.693,20.323,1,I would want to ask the people in the 99th percentile because they did the best.,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,26,Female,Other,potato,"Yes, I only spoke English growing up",,,,People's ability to identify words.,,R_1hzBs0l7n2xEBWx,404,1,0,0,0,Q167|qual_slide|qual_t
100,404,TRUE,R_cZPCMdyWFHqKhNv,0,0,2.922,0,0,0,1.551,0,0,0,9.32,0,6.387,20.357,22.871,4,35.363,38.871,41.434,2,U7OubivXS  ,79.461,79.461,81.83,1,8qKpSEsKm  ,67.116,67.116,68.731,1,OukbebRtgX  ,69.779,69.779,71.911,1,zNYi8CkwVL  ,,,,,,,,,,,,,,99,0,0,18.487,0,I would want the best advice,"Yes, I've played some version of this game before",Within the last year,Within the last 3 years,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,18,Female,Other,potato,"Yes, I only spoke English growing up",,,,game,,R_cZPCMdyWFHqKhNv,404,0,0,1,0,Q167|qual_slide|qual_t
100,404,TRUE,R_2xDl1vT09K8ryBJ,0,0,3.439,0,0,0,1.685,0,0,0,16.611,0,2.854,15.337,17.275,4,23.192,27.168,29,2,H8wcuu4IBi  ,69.109,69.308,71.699,2,BevSbskfsd  ,66.486,66.486,68.699,1,6lxMRdfu9  ,66.747,66.938,69.828,2,Y1Y8qa5msa  ,,,,6,5,4,4,3,2,2,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,,8.371,22.401,23.409,12,"If they are better at it, maybe they can give better advice","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,24,Male,Other,potato,"Yes, I only spoke English growing up",,,,ability,,R_2xDl1vT09K8ryBJ,404,0,0,0,0,Q167|qual_percs|qual_t
100,405,TRUE,R_2BkP5Ebpt4bUIL5,0,0,1.781,0,0,0,1.486,0,16.117,16.117,16.969,1,5.522,26.904,28.674,6,15.336,25.704,27.568,3,M2xtLuWo30  ,67.644,67.644,69.398,1,7yZNPFe1Kn  ,67.23,67.23,68.926,1,HizwGSs2v4,65.321,67.273,67.612,2,7oJwIjD3Yw  ,,,,,,,,,,,,,,84,15.645,15.645,19.757,1,"I feel like the top person would be too technical, so someone slightly less than that would be better for me.","No, I've never played any version of this game before",,,A few times a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,24,Male,Other,potato,"Yes, I only spoke English growing up",,,,Not sure,,R_2BkP5Ebpt4bUIL5,405,1,1,0,0,Q167|qual_slide|qual_t
100,406,TRUE,R_30coQOp61mbmE32,0,0,4.244,0,0,0,2.238,0,0,0,8.544,0,4.393,20.278,22.613,4,20.432,20.432,23.249,1,ZHMYSEfkr,69.506,69.506,72.752,1,1nSiqvOIvQ,74.379,76.183,77.149,2,PLS1dxxTJF,68.089,68.089,70.392,1,afthxhSOUC,,,,,,,,,,,,,,99,9.903,9.903,19.582,1,The people that did the best would be better equipped to give me the best advice.,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was less skilled than most people,I was less experienced than most people,"With a trackpad

",,20,Male,Other,potato,"Yes, I only spoke English growing up",,,,Not sure.,,R_30coQOp61mbmE32,406,0,1,0,0,Q167|qual_slide|qual_t
100,407,TRUE,R_1Q4OtYhKKvVl9jX,15.039,15.039,16.19,1,0,0,1.48,0,1.088,4.946,10.084,2,1.343,21.866,22.903,12,13.715,24.722,27.281,3,NUDZxU2XM,2.515,74.471,75.154,6,o7UY51xhOH,1.77,69.939,71.106,4,XLHQdYNhmh,0.904,67.925,69.966,3,g7FJ3TkJyh,,,,,,,,,,,,,,45,1.393,25.09,26.241,7,someone near the middle so they weren't too good or bad,"No, I've never played any version of this game before",,,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,24,Female,Other,potato,"Yes, I only spoke English growing up",,,When I was clicking a word and messed up I couldn't go back and not submit the word.,,,R_1Q4OtYhKKvVl9jX,407,1,0,0,0,Q167|qual_slide|qual_t
100,407,TRUE,R_0upq445A4U0tjAR,6.085,6.085,6.459,1,0,0,2.328,0,0,0,10.652,0,7.883,22.961,23.365,7,28.984,29.277,31.796,2,C5f7pVrXnT  ,69.868,70.018,72.268,2,1kXdschobk ,69.067,69.396,71.397,2,4iOyHpc1l,66.504,66.716,68.718,2, iRlL1xx6q2  ,,,,7 - Extremely helpful,7 - Extremely helpful,7 - Extremely helpful,6,6,6,5,5,5,2,,12.837,23.31,23.842,13,people who did better know more about the puzzle,"No, I've never played any version of this game before",,,Less than once a year,I was less skilled than most people,I was less experienced than most people,"With a computer mouse

",,32,Male,Other,potato,"Yes, I only spoke English growing up",,,nope,don't know,,R_0upq445A4U0tjAR,407,0,0,0,1,Q167|qual_percs|qual_t
100,407,TRUE,R_1dGJ4yZpN9OrhDB,0,0,6.881,0,0,0,2.365,0,13.056,15.852,16.845,6,4.677,25.28,27.386,7,21.272,21.504,23.727,2, ZqbzMWXFa8  ,69.542,69.735,71.542,2,nITJ9D3iQv  ,67.633,67.91,70.384,2,iSgazrFmKN  ,66.276,66.517,68.293,2,wYdRZa8DNK  ,,,,,,,,,,,,,,99,20.876,20.876,21.572,1,People with higher scores know what to look for and would give the best advice.,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,22,Female,Other,potato,"Yes, I only spoke English growing up",,,,,,R_1dGJ4yZpN9OrhDB,407,0,0,0,0,Q167|qual_slide|qual_t
100,408,TRUE,R_3p3iQa8ISSJpAAL,0,0,6.836,0,0,0,3.038,0,0,0,14.686,0,3.8,17.462,18.478,4,18.696,21.897,23.849,4,hFmJrPBBKB,75.333,75.333,77.841,1,mpioYWMTWX,67.5,67.5,69.718,1,mz0hb3ZHwL,66.313,66.313,68.452,1,UlGDl5Ja4U,,,,,,,,,,,,,,55,6.593,15.723,17.846,6,I would want as much advice as possible to gain the highest score,"Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,A few times a month,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,22,Female,Other,potato,"Yes, I only spoke English growing up",,,,playing a game,,R_3p3iQa8ISSJpAAL,408,1,1,0,0,Q167|qual_slide|qual_t
100,409,TRUE,R_qUd2plxifweCtH3,0,0,3.168,0,0,0,1.799,0,0,0,22.904,0,4.025,21.717,23.378,5,31.993,32.762,34.598,2,Q753E86hl6,70.185,70.185,72.435,1,ai0QnuyPxt,66.352,66.352,67.945,1,c7bvfSIDgk,65.75,65.75,66.927,1,7FCbefCzW9,,A participant who scored the same as you in the game,,,,,,,,,,,,,4.664,16.418,17.065,7,I would want advice from someone who mastered the game,"No, I've never played any version of this game before",,,Less than once a year,I was less skilled than most people,I was less experienced than most people,"With a trackpad

",,22,Female,Other,potato,"Yes, I spoke English and these other languages growing up:",Chinese,,,,,R_qUd2plxifweCtH3,409,1,1,0,0,Q167|qual_mc|qual_t
100,412,TRUE,R_3256Ej90YaWLOUE,0,0,5.08,0,0,0,2.797,0,10.383,10.383,12.48,1,4.762,22.594,24.181,6,13.984,14.271,16.319,2,uXu6ChVdl6 ,74.064,74.833,76.936,3,SDMzvRCnh8,67.211,67.419,69.18,2,Z98k4l0jtZ ,66.433,67,68.922,2,d0EW2fnxi,,,,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,1 - Extremely unhelpful,,9.618,16.393,16.728,21,"I honestly don't think that advice from someone who's already taken the game would help - it's fairly straightforward, and once you get the hang of it you don't need any guidance.","No, I've never played any version of this game before",,,I never play word-finding games,I was more skilled than most people,I was less experienced than most people,"With a computer mouse

",,18,Male,Other,potato,"Yes, I only spoke English growing up",,,,Analyzing how quickly people can get the hang of a concept.,,R_3256Ej90YaWLOUE,412,1,1,1,0,Q167|qual_percs|qual_t
100,413,TRUE,R_2zdqZdfQIrxwkYP,0,0,5.316,0,0,0,2.703,0,0,0,9.947,0,5.039,15.038,16.599,4,23.305,26.578,28.642,2,FkBGQr7eF,67.48,67.48,69.171,1,jiY5sqwdXh  ,64.809,64.809,66.398,1,zeYbg4i2rh  ,65.102,65.102,66.917,1,T7PO57O3qp,Look for plural words too,,,,,,,,,,,,,,5.447,5.447,17.413,1,You can add an s to the end of most words for another word bonus,"Yes, I've played some version of this game before",Within the last year,Within the last 5 years,A few times a month,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,25,Male,Other,potato,"Yes, I only spoke English growing up",,,,word associations,,R_2zdqZdfQIrxwkYP,413,0,0,0,0,Q167|qual_fr|qual_t
100,414,TRUE,R_r286dynkeSkLxdv,0,0,6.727,0,0,0,3.122,0,0,0,13.575,0,7.527,20.028,22.068,4,19.157,19.653,22.516,2,7NfJrqqCd3  ,68.322,68.682,71.556,2,jxWpfstnq  ,71.296,71.519,74.164,2,NySMvwIRKD  ,47.999,68.422,69.878,4,V3LuXx6XLW  ,,,,7 - Extremely helpful,6,5,4,3,3,3,2,2,3,,10.228,19.397,21.077,10,"I think the best players would have advice on how to find words, and the worst players would have advice on how to do better than they did. ","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was less skilled than most people,I was as experienced as most people,"With a trackpad

",,30,Female,Other,potato,"Yes, I only spoke English growing up",,,I had a hard time with a track pad. ,No clue. ,,R_r286dynkeSkLxdv,414,0,0,0,0,Q167|qual_percs|qual_t
100,415,TRUE,R_3JekQCdn1fEja7W,0,0,3.893,0,0,0,1.946,0,0,0,16.013,0,7.338,27.907,30.143,5,21.186,21.186,22.736,1,Ni2qTxEa86 ,72.915,72.915,74.511,1,0ud6TbmN2p,68.232,68.232,71.195,1,Gapc0m4qOn,66.773,66.773,68.224,1,CcjMeHillJ,,,,,,,,,,,,,,99,25.591,25.591,26.596,1,I would want to know how the most successful person did so well.,I'm not sure,,,A few times a month,I was as skilled as most people,I was as experienced as most people,"With a computer mouse

",,42,Female,Other,potato,"Yes, I only spoke English growing up",,,,How well people do in certain games. ,,R_3JekQCdn1fEja7W,415,1,0,0,0,Q167|qual_slide|qual_t
100,417,TRUE,R_1LhxP57tRz2tOTx,0,0,5.474,0,0,0,1.999,0,0,0,11.904,0,3.212,15.357,17.099,4,30.491,30.491,31.757,1,EhPcUTY4b,69.141,72.364,72.699,2,O7JjDa7Jiu,67.72,67.72,69.042,1,OoM1qujhfX,65.622,65.622,67.047,1,wHi38MIIMk,"Someone who had a good, coherent strategy, rather than just randomly looking for words",,,,,,,,,,,,,,7.193,7.193,29.773,1,"There are certain patterns and things to look for. Words that can be pluralized, and words that don't require diagonals, are easier to find and mark.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was more skilled than most people,I was as experienced as most people,"With a trackpad

",,26,Male,Other,,"Yes, I only spoke English growing up",,,,I'm not sure; strategies and word recognition?,,R_1LhxP57tRz2tOTx,417,1,0,0,0,Q167|qual_fr|qual_t
100,417,TRUE,R_3Gm0nfLUj6OWjk5,2.378,2.378,3.979,1,0,0,1.926,0,3.873,3.873,13.571,1,6.583,29.763,32.931,7,4.536,19.743,22.526,2,Tryx9R5C4C  ,5.797,73.022,75.689,3,gcQrCo1HB  ,1.774,69.167,71.161,3,l7r4BWcVPJ  ,3.265,73.488,75.566,3,ihDOechSSU  ,,,,,,,,,,,,,,99,12.892,20.257,22.12,2,I would want to ask the people who did the best,"No, I've never played any version of this game before",,,Less than once a year,I was less skilled than most people,I was less experienced than most people,"With a trackpad

",,21,Male,Other,potato,"Yes, I only spoke English growing up",,,,I do not know,,R_3Gm0nfLUj6OWjk5,417,1,1,1,0,Q167|qual_slide|qual_t
100,418,TRUE,R_3lSU10Bx3mUPlGl,0,0,8.936,0,0,0,2.42,0,0,0,14.348,0,4.741,20.882,22.708,5,21.607,21.607,24.157,1,eBrGftr1wK  ,72.488,72.488,74.622,1,MlfT11qw8X,67.214,69.75,70.457,2,j9rdzwzXS  ,67.526,67.526,70.03,1,sd8i167HeT  ,,The participant who scored the best in the game,,,,,,,,,,,,,10.361,10.361,16.918,1,I would want to learn from the best in how the played the game so well,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,I was as skilled as most people,I was as experienced as most people,"With a trackpad

",,28,Male,Other,potato,"Yes, I only spoke English growing up",,,,Cognitive reasoning,No thanks have a great day!,R_3lSU10Bx3mUPlGl,418,1,0,0,0,Q167|qual_mc|qual_t
